"samuel_pickwick::lively";"samuel_pickwick::sensible"
"pickwick_winkle::old";"pickwick_winkle::troubled"
"snodgrass::clean";"winkle::clean"
"pickwick::great";"pickwick::little"
"pickwick::excited";"pickwick::old"
"eatanswill::admirable";"pickwick::admirable"
"eatanswill::unusual";"pickwick::unusual"
"bardell::energetic";"bardell::interested"
"bardell::energetic";"pickwick::energetic"
"bardell::energetic";"pickwick::interested"
"bardell::interested";"pickwick::energetic"
"bardell::interested";"pickwick::interested"
"pickwick::energetic";"pickwick::interested"
"bardell::kind";"pickwick::kind"
"bardell::good";"bardell::kind"
"bardell::good";"bardell::playful"
"bardell::good";"pickwick::good"
"bardell::good";"pickwick::kind"
"bardell::good";"pickwick::playful"
"bardell::kind";"bardell::playful"
"bardell::kind";"pickwick::good"
"bardell::kind";"pickwick::playful"
"bardell::playful";"pickwick::good"
"bardell::playful";"pickwick::kind"
"bardell::playful";"pickwick::playful"
"pickwick::good";"pickwick::kind"
"pickwick::good";"pickwick::playful"
"pickwick::kind";"pickwick::playful"
"pickwick::beautiful";"pickwick::youthful"
"pickwick::forward";"pickwick::kind"
"horatio_fizkin::forward";"samuel_slumkey::forward"
"perker::happy";"perker::little"
"perker::happy";"pickwick::happy"
"perker::happy";"pickwick::little"
"perker::little";"pickwick::happy"
"perker::little";"pickwick::little"
"pickwick::happy";"pickwick::little"
"pickwick::great";"pott::great"
"perker::little";"pott::little"
"pickwick::little";"pott::little"
"pickwick::delighted";"pott::delighted"
"pickwick::devoted";"sam::devoted"
"pickwick::devoted";"weller::devoted"
"sam::devoted";"weller::devoted"
"pickwick::extraordinary";"pickwick::upset"
"pickwick::extraordinary";"pickwick::wonderful"
"pickwick::upset";"pickwick::wonderful"
"perker::excited";"perker::forward"
"perker::excited";"perker::little"
"perker::forward";"perker::little"
"horatio_fizkin::employed";"samuel_slumkey::employed"
"esquire::terrific";"horatio_fizkin::terrific"
"esquire::terrific";"samuel_slumkey::terrific"
"horatio_fizkin::terrific";"samuel_slumkey::terrific"
"snodgrass::social";"tupman::social"
"snodgrass::enthusiastic";"snodgrass::great"
"bilson::great";"bilson::little"
"bilson::great";"tom_smart::great"
"bilson::great";"tom_smart::little"
"bilson::little";"tom_smart::great"
"bilson::little";"tom_smart::little"
"tom_smart::great";"tom_smart::little"
"tom::experienced";"tom::little"
"tom::decent";"tom::reasonable"
"tom::decent";"tom::short"
"tom::reasonable";"tom::short"
"tom::little";"tom::nice"
"tom::little";"tom::well"
"tom::nice";"tom::well"
"tom_smart::delightful";"tom_smart::old"
"tom_smart::delightful";"tom_smart::pleasant"
"tom_smart::old";"tom_smart::pleasant"
"tom_smart::#-certain";"tom_smart::tall"
"--_damn::old";"--_damn::strange"
"tom::confused";"tom::tall"
"tom_smart::poor";"tom::poor"
"tom_smart::old";"tom::old"
"tom::little";"tom::old"
"tom::old";"tom::violent"
"tom::handsome";"tom::old"
"tom::crazy";"tom::hard"
"tom::unusual";"tom::well"
"tom_smart::admirable";"tom_smart::lucky"
"tom::poor";"tom::weak"
"leo_hunter::faithful";"pickwick::faithful"
"leo_hunter::calm";"pickwick::calm"
"leo_hunter::great";"pickwick::great"
"plato::great";"pythagoras_pickwick::great"
"pickwick::#-mean";"tupman::#-mean"
"pickwick::old";"tupman::old"
"pickwick::fat";"tupman::fat"
"pickwick::short";"tupman::short"
"leo_hunter::distinguished";"leo_hunter::good"
"leo_hunter::distinguished";"pott::distinguished"
"leo_hunter::distinguished";"pott::good"
"leo_hunter::good";"pott::distinguished"
"leo_hunter::good";"pott::good"
"pott::distinguished";"pott::good"
"hunter::ordinary";"leo_hunter::ordinary"
"hunter::ordinary";"pott::ordinary"
"leo_hunter::ordinary";"pott::ordinary"
"--_count_smorltork::famous";"--_count_smorltork::great"
"--_count_smorltork::famous";"pickwick::famous"
"--_count_smorltork::famous";"pickwick::great"
"--_count_smorltork::great";"pickwick::famous"
"--_count_smorltork::great";"pickwick::great"
"pickwick::famous";"pickwick::great"
"hunter::good";"leo_hunter::good"
"hunter::great";"pott::great"
"charles_fitz-marshall::important";"leo_hunter::important"
"pickwick::innocent";"pickwick::worthy"
"pickwick::good";"pickwick::old"
"pickwick::good";"sam_weller::good"
"pickwick::good";"sam_weller::old"
"pickwick::old";"sam_weller::good"
"pickwick::old";"sam_weller::old"
"sam_weller::good";"sam_weller::old"
"pickwick::cheap";"weller::cheap"
"sam::good";"weller::good"
"pickwick::little";"sam::little"
"pickwick::little";"weller::little"
"sam::little";"weller::little"
"charles_fitz-marshall::private";"pickwick::private"
"charles_fitz-marshall::private";"weller::private"
"pickwick::private";"weller::private"
"pickwick::natural";"weller::natural"
"sam::respectable";"trotter::respectable"
"pickwick::good";"pickwick::hard"
"pickwick::good";"pickwick::honest"
"pickwick::good";"sam::good"
"pickwick::good";"sam::hard"
"pickwick::good";"sam::honest"
"pickwick::good";"trotter::good"
"pickwick::good";"trotter::hard"
"pickwick::good";"trotter::honest"
"pickwick::hard";"pickwick::honest"
"pickwick::hard";"sam::good"
"pickwick::hard";"sam::hard"
"pickwick::hard";"sam::honest"
"pickwick::hard";"trotter::good"
"pickwick::hard";"trotter::hard"
"pickwick::hard";"trotter::honest"
"pickwick::honest";"sam::good"
"pickwick::honest";"sam::hard"
"pickwick::honest";"sam::honest"
"pickwick::honest";"trotter::good"
"pickwick::honest";"trotter::hard"
"pickwick::honest";"trotter::honest"
"sam::good";"sam::hard"
"sam::good";"sam::honest"
"sam::good";"trotter::good"
"sam::good";"trotter::hard"
"sam::good";"trotter::honest"
"sam::hard";"sam::honest"
"sam::hard";"trotter::good"
"sam::hard";"trotter::hard"
"sam::hard";"trotter::honest"
"sam::honest";"trotter::good"
"sam::honest";"trotter::hard"
"sam::honest";"trotter::honest"
"trotter::good";"trotter::hard"
"trotter::good";"trotter::honest"
"trotter::hard";"trotter::honest"
"pickwick_trotter::handsome";"tai::handsome"
"pickwick::great";"pickwick::well"
"pickwick::great";"sam::great"
"pickwick::great";"sam::well"
"pickwick::great";"weller::great"
"pickwick::great";"weller::well"
"pickwick::great";"wery::great"
"pickwick::great";"wery::well"
"pickwick::well";"sam::great"
"pickwick::well";"sam::well"
"pickwick::well";"weller::great"
"pickwick::well";"weller::well"
"pickwick::well";"wery::great"
"pickwick::well";"wery::well"
"sam::great";"sam::well"
"sam::great";"weller::great"
"sam::great";"weller::well"
"sam::great";"wery::great"
"sam::great";"wery::well"
"sam::well";"weller::great"
"sam::well";"weller::well"
"sam::well";"wery::great"
"sam::well";"wery::well"
"weller::great";"weller::well"
"weller::great";"wery::great"
"weller::great";"wery::well"
"weller::well";"wery::great"
"weller::well";"wery::well"
"wery::great";"wery::well"
"jingle::little";"sam_weller::little"
"pickwick::gentle";"weller::gentle"
"weller::great";"weller::open"
"dingley_dell::old";"pickwick::old"
"dingley_dell::old";"sam::old"
"dingley_dell::old";"winkle::old"
"pickwick::old";"sam::old"
"sam::old";"winkle::old"
"lobbs::blind";"lobbs::young"
"lobbs::blind";"nathaniel_pipkin::blind"
"lobbs::blind";"nathaniel_pipkin::young"
"lobbs::young";"nathaniel_pipkin::blind"
"lobbs::young";"nathaniel_pipkin::young"
"nathaniel_pipkin::blind";"nathaniel_pipkin::young"
"lobbs::big";"lobbs::great"
"lobbs::big";"lobbs::little"
"lobbs::big";"lobbs::nervous"
"lobbs::big";"lobbs::old"
"lobbs::big";"lobbs::well"
"lobbs::big";"nathaniel_pipkin::big"
"lobbs::big";"nathaniel_pipkin::great"
"lobbs::big";"nathaniel_pipkin::little"
"lobbs::big";"nathaniel_pipkin::nervous"
"lobbs::big";"nathaniel_pipkin::old"
"lobbs::big";"nathaniel_pipkin::well"
"lobbs::great";"lobbs::little"
"lobbs::great";"lobbs::nervous"
"lobbs::great";"lobbs::old"
"lobbs::great";"lobbs::well"
"lobbs::great";"nathaniel_pipkin::big"
"lobbs::great";"nathaniel_pipkin::great"
"lobbs::great";"nathaniel_pipkin::little"
"lobbs::great";"nathaniel_pipkin::nervous"
"lobbs::great";"nathaniel_pipkin::old"
"lobbs::great";"nathaniel_pipkin::well"
"lobbs::little";"lobbs::nervous"
"lobbs::little";"lobbs::old"
"lobbs::little";"lobbs::well"
"lobbs::little";"nathaniel_pipkin::big"
"lobbs::little";"nathaniel_pipkin::great"
"lobbs::little";"nathaniel_pipkin::little"
"lobbs::little";"nathaniel_pipkin::nervous"
"lobbs::little";"nathaniel_pipkin::old"
"lobbs::little";"nathaniel_pipkin::well"
"lobbs::nervous";"lobbs::old"
"lobbs::nervous";"lobbs::well"
"lobbs::nervous";"nathaniel_pipkin::big"
"lobbs::nervous";"nathaniel_pipkin::great"
"lobbs::nervous";"nathaniel_pipkin::little"
"lobbs::nervous";"nathaniel_pipkin::nervous"
"lobbs::nervous";"nathaniel_pipkin::old"
"lobbs::nervous";"nathaniel_pipkin::well"
"lobbs::old";"lobbs::well"
"lobbs::old";"nathaniel_pipkin::big"
"lobbs::old";"nathaniel_pipkin::great"
"lobbs::old";"nathaniel_pipkin::little"
"lobbs::old";"nathaniel_pipkin::nervous"
"lobbs::old";"nathaniel_pipkin::old"
"lobbs::old";"nathaniel_pipkin::well"
"lobbs::well";"nathaniel_pipkin::big"
"lobbs::well";"nathaniel_pipkin::great"
"lobbs::well";"nathaniel_pipkin::little"
"lobbs::well";"nathaniel_pipkin::nervous"
"lobbs::well";"nathaniel_pipkin::old"
"lobbs::well";"nathaniel_pipkin::well"
"nathaniel_pipkin::big";"nathaniel_pipkin::great"
"nathaniel_pipkin::big";"nathaniel_pipkin::little"
"nathaniel_pipkin::big";"nathaniel_pipkin::nervous"
"nathaniel_pipkin::big";"nathaniel_pipkin::old"
"nathaniel_pipkin::big";"nathaniel_pipkin::well"
"nathaniel_pipkin::great";"nathaniel_pipkin::little"
"nathaniel_pipkin::great";"nathaniel_pipkin::nervous"
"nathaniel_pipkin::great";"nathaniel_pipkin::old"
"nathaniel_pipkin::great";"nathaniel_pipkin::well"
"nathaniel_pipkin::little";"nathaniel_pipkin::nervous"
"nathaniel_pipkin::little";"nathaniel_pipkin::old"
"nathaniel_pipkin::little";"nathaniel_pipkin::well"
"nathaniel_pipkin::nervous";"nathaniel_pipkin::old"
"nathaniel_pipkin::nervous";"nathaniel_pipkin::well"
"nathaniel_pipkin::old";"nathaniel_pipkin::well"
"maria_lobbs::bright";"nathaniel_pipkin::bright"
"maria_lobbs::pretty";"nathaniel_pipkin::pretty"
"lobbs::blind";"lobbs::old"
"lobbs::blind";"maria_lobbs::blind"
"lobbs::blind";"maria_lobbs::old"
"lobbs::blind";"nathaniel_pipkin::old"
"lobbs::old";"maria_lobbs::blind"
"lobbs::old";"maria_lobbs::old"
"lobbs::old";"nathaniel_pipkin::blind"
"maria_lobbs::blind";"maria_lobbs::old"
"maria_lobbs::blind";"nathaniel_pipkin::blind"
"maria_lobbs::blind";"nathaniel_pipkin::old"
"maria_lobbs::old";"nathaniel_pipkin::blind"
"maria_lobbs::old";"nathaniel_pipkin::old"
"nathaniel_pipkin::blind";"nathaniel_pipkin::old"
"maria_lobbs::little";"nathaniel_pipkin::little"
"kate::afraid";"nathaniel::afraid"
"kate::great";"kate::little"
"kate::great";"maria_lobbs::great"
"kate::great";"maria_lobbs::little"
"kate::great";"nathaniel_pipkin::great"
"kate::great";"nathaniel_pipkin::little"
"kate::little";"maria_lobbs::great"
"kate::little";"maria_lobbs::little"
"kate::little";"nathaniel_pipkin::great"
"kate::little";"nathaniel_pipkin::little"
"maria_lobbs::great";"maria_lobbs::little"
"maria_lobbs::great";"nathaniel_pipkin::great"
"maria_lobbs::great";"nathaniel_pipkin::little"
"maria_lobbs::little";"nathaniel_pipkin::great"
"kate::little";"pipkin::little"
"maria_lobbs::little";"pipkin::little"
"lobbs::loud";"lobbs::old"
"nathaniel_pipkin::old";"nathaniel_pipkin::thin"
"lobbs::old";"lobbs::wonderful"
"damme::harmless";"damme::old"
"damme::harmless";"lobbs::harmless"
"damme::harmless";"lobbs::old"
"damme::old";"lobbs::harmless"
"damme::old";"lobbs::old"
"lobbs::harmless";"lobbs::old"
"pott::great";"pott::ordinary"
"pott::alone";"pott::open"
"pott::alone";"winkle::alone"
"pott::alone";"winkle::open"
"pott::open";"winkle::alone"
"pott::open";"winkle::open"
"winkle::alone";"winkle::open"
"pott::unhappy";"pott::useful"
"pott::unhappy";"pott::young"
"pott::useful";"pott::young"
"pott::mean";"winkle::mean"
"goodwin::proper";"goodwin::unhappy"
"goodwin::proper";"pott::proper"
"goodwin::proper";"pott::unhappy"
"goodwin::unhappy";"pott::proper"
"goodwin::unhappy";"pott::unhappy"
"pott::proper";"pott::unhappy"
"pott::awkward";"winkle::awkward"
"peacock::beautiful";"pickwick::beautiful"
"peacock::beautiful";"sam::beautiful"
"peacock::beautiful";"snodgrass::beautiful"
"peacock::beautiful";"winkle::beautiful"
"pickwick::beautiful";"sam::beautiful"
"pickwick::beautiful";"snodgrass::beautiful"
"pickwick::beautiful";"winkle::beautiful"
"sam::beautiful";"snodgrass::beautiful"
"sam::beautiful";"winkle::beautiful"
"snodgrass::beautiful";"winkle::beautiful"
"pickwick::old";"weller::old"
"snodgrass::old";"wardle::old"
"snodgrass::old";"weller::old"
"snodgrass::old";"winkle::old"
"tupman::old";"wardle::old"
"tupman::old";"weller::old"
"tupman::old";"winkle::old"
"wardle::old";"weller::old"
"wardle::old";"winkle::old"
"weller::old";"winkle::old"
"tupman::young";"wardle::young"
"bella::old";"snodgrass::old"
"rachael::old";"tupman::old"
"sam_weller::open";"sam_weller::tall"
"sam_weller::open";"snodgrass::open"
"sam_weller::open";"snodgrass::tall"
"sam_weller::open";"trundle::open"
"sam_weller::open";"trundle::tall"
"sam_weller::open";"wardle::open"
"sam_weller::open";"wardle::tall"
"sam_weller::tall";"snodgrass::open"
"sam_weller::tall";"snodgrass::tall"
"sam_weller::tall";"trundle::open"
"sam_weller::tall";"trundle::tall"
"sam_weller::tall";"wardle::open"
"sam_weller::tall";"wardle::tall"
"snodgrass::open";"snodgrass::tall"
"snodgrass::open";"trundle::open"
"snodgrass::open";"trundle::tall"
"snodgrass::open";"wardle::open"
"snodgrass::open";"wardle::tall"
"snodgrass::tall";"trundle::open"
"snodgrass::tall";"trundle::tall"
"snodgrass::tall";"wardle::open"
"snodgrass::tall";"wardle::tall"
"trundle::open";"trundle::tall"
"trundle::open";"wardle::open"
"trundle::open";"wardle::tall"
"trundle::tall";"wardle::open"
"trundle::tall";"wardle::tall"
"wardle::open";"wardle::tall"
"daph::old";"juno::old"
"daph::old";"wardle::old"
"juno::old";"wardle::old"
"boldwig::fine";"boldwig::old"
"boldwig::fine";"wardle::fine"
"boldwig::fine";"wardle::old"
"boldwig::old";"wardle::fine"
"boldwig::old";"wardle::old"
"wardle::fine";"wardle::old"
"pickwick::anxious";"winkle::anxious"
"winkle::critical";"winkle::tall"
"winkle::good";"winkle::poor"
"pickwick::rebellious";"winkle::rebellious"
"jove::punctual";"pickwick::punctual"
"weller::clever";"weller::nice"
"weller::little";"weller::nice"
"pickwick::young";"sam::young"
"pickwick::clean";"sam::clean"
"pickwick::clean";"weller::clean"
"sam::clean";"weller::clean"
"pickwick::cold";"pickwick::warm"
"pickwick::cold";"tupman::cold"
"pickwick::cold";"tupman::warm"
"pickwick::warm";"tupman::cold"
"tupman::cold";"tupman::warm"
"boldwig::great";"boldwig::little"
"boldwig::little";"pickwick::little"
"boldwig::great";"pickwick::great"
"sam_weller::old";"wardle::old"
"boldwig::old";"pickwick::old"
"cornhill::well";"freeman::well"
"cornhill::well";"weller::well"
"freeman::well";"weller::well"
"pickwick::faithful";"sam_weller::faithful"
"fogg::old";"ramsey::old"
"fogg::old";"fogg::sweet"
"wicks::delightful";"wicks::good"
"wicks::delightful";"wicks::well"
"wicks::good";"wicks::well"
"pickwick::little";"pickwick::nice"
"pickwick::little";"pickwick::relaxed"
