"abstract" "accomplished" "accurate" "active" "adventurous" "affected" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "awkward" "bashful" "benevolent" "bitter" "bold" "bright" "brisk" "brutal" "buoyant" "calm" "capable" "careful" "careless" "cautious" "certain" "charitable" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "complicated" "complimentary" "confident" "confused" "considerate" "constant" "conventional" "cool" "cordial" "courteous" "crafty" "cruel" "cunning" "curious" "dainty" "deep" "dependent" "determined" "devilish" "direct" "disdainful" "dissatisfied" "distant" "dull" "eager" "earnest" "elegant" "emphatic" "energetic" "enthusiastic" "envious" "exact" "excessive" "excitable" "expressive" "extravagant" "faithful" "fastidious" "fearful" "feminine" "fervent" "fierce" "fiery" "firm" "flighty" "foolish" "friendly" "frugal" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "greedy" "gruff" "harsh" "hasty" "headlong" "heartless" "hearty" "honest" "humble" "humorous" "ignorant" "immovable" "impatient" "impetuous" "inconsiderate" "independent" "indifferent" "ingenious" "injudicious" "insolent" "intense" "intimate" "intricate" "irritable" "jealous" "juvenile" "kind" "kindly" "languid" "lazy" "literary" "live" "lively" "loud" "malicious" "manly" "maternal" "melodramatic" "merry" "mild" "moderate" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "obliging" "original" "particular" "passionate" "patient" "peaceful" "peevish" "philosophical" "playful" "pleasant" "polite" "precise" "profound" "prompt" "proper" "proud" "prudent" "punctual" "quick" "quiet" "rash" "reasonable" "reckless" "religious" "respectful" "responsible" "restless" "rigid" "rough" "rugged" "sarcastic" "scrupulous" "selfish" "sentimental" "serious" "severe" "silent" "simple" "sincere" "slow" "sluggish" "smart" "solemn" "speedy" "spirited" "sprightly" "stable" "steady" "stern" "straightforward" "strict" "sullen" "suspicious" "talkative" "tender" "thorough" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmanly" "unvarying" "vague" "vain" "vigorous" "violent" "vivid" "warm" "wily" "worldly" "verbal" "wild" "wise" "zealous"
"cheerful" 0 0 2 3 0 0 2 1 1 2 1 2 0 1 1 0 4 3 0 1 1 0 0 1 0 6 0 0 0 1 1 0 5 0 0 0 2 0 0 0 0 2 0 1 1 0 0 1 0 2 0 0 0 1 0 0 1 2 4 1 3 1 0 1 0 2 0 1 1 0 3 0 0 0 1 0 1 0 1 0 2 0 0 3 2 2 0 0 0 0 0 0 1 0 1 3 5 2 0 0 0 1 0 0 0 2 1 0 1 0 0 0 0 1 1 3 1 0 0 1 2 2 2 0 1 0 0 0 0 1 0 1 1 0 2 0 1 0 3 6 0 0 0 0 0 0 5 2 1 4 1 3 3 1 2 2 7 0 1 1 1 2 0 1 1 0 1 3 1 1 0 1 1 6 1 0 2 2 1 0 0 1 2 1 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 2 1 0 1 0 7 0 0 0 2 1 0
"childish" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 2 0 0 0 2 0 0
"civil" 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0
"clever" 0 1 0 0 0 0 1 1 2 0 0 1 0 0 0 0 2 0 1 0 0 1 3 0 0 2 0 1 0 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 2 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 3 0 0 1 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 3 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 3 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 2 1 1 1 0 0 0 0 2 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
"coarse" 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 3 0 0 0 1 1 0 1 1 0 0 0 1 0 0 2 0 2 0 0 0 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1 2 1 0 1 0 1 2 1 1 0 0 1 4 1 1 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 8 0 0 0 0 1 0 0 0 1 0 1 0 2 1 0 2 3 0 0 1 0 0 0 2 0 0 1 0 0 1 0 0 2 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 2 4 1 0 2 0 0 2 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 2 0 1 0 0 1 1 0 0
"cold" 0 2 1 4 0 2 4 3 2 9 0 3 0 1 5 1 8 2 0 0 4 2 4 2 1 6 0 5 0 0 3 3 0 1 1 0 1 2 1 1 0 1 1 0 1 1 3 5 1 4 0 1 0 2 0 0 1 9 4 5 4 2 0 0 0 2 0 0 4 1 0 2 0 2 1 1 0 0 0 3 2 1 1 0 3 8 7 5 1 2 3 4 2 1 1 5 11 5 1 0 1 3 0 0 0 1 0 2 0 2 0 1 0 1 0 7 0 0 1 1 0 4 7 2 1 0 0 1 1 0 0 4 1 0 3 4 2 1 6 10 0 1 1 1 1 2 6 0 1 0 2 6 1 0 0 5 10 1 1 1 0 2 1 2 2 4 2 5 0 4 0 2 6 8 2 0 3 2 2 4 1 2 0 5 1 6 0 1 1 0 0 1 0 2 2 2 3 0 1 0 0 2 4 2 8 2 8 1 2 0 4 1 1
"communicative" 0 1 0 2 0 0 1 0 0 3 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 1 0 0 0 0
"complicated" 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 2 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1
"complimentary" 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"confident" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 1 1 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 2 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 2 0 0 1 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0
"confused" 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 3 1 0 0 0 0 0 0 1 1 0 1 0 1 1 0 2 2 0 0 0 0 1 1 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 1 0 0 1 0 0 0
"considerate" 0 0 0 0 0 0 0 0 0 2 0 1 1 1 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 1 1 1 0 1 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"constant" 0 0 0 2 0 1 0 2 2 3 1 2 1 1 1 0 0 0 0 0 1 0 2 0 1 4 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 4 0 1 0 0 0 0 3 2 1 4 0 0 0 1 0 0 1 1 2 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 1 1 0 1 0 3 2 0 1 1 1 3 2 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 3 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 5 0 0 2 0 0 1 3 0 0 2 1 2 3 1 0 3 3 0 0 1 0 0 0 2 0 2 0 0 0 2 0 2 1 0 1 0 0 0 0 1 0 2 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 1 4 2 2 0 1 0 1 2 1
"conventional" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cool" 1 0 0 1 0 0 1 1 0 2 0 2 0 0 0 0 2 0 0 1 1 0 0 2 1 2 0 2 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 2 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 2 0 0 1 0 0 3 0 1 0 2 0 0 0 1 0 1 0 0 2 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 2 0 2 0 0 0 0 0 0 0 0 2 3 1 1 0 2 2 0 0 0 0 0 0 2 0 0 1 1 1 2 0 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 2 1 3 0 1 0 2 0 0
"cordial" 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"courteous" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"crafty" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0
"cruel" 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 4 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 2 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 3 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 0 2 2 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2 3 0 0 0 3 2 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 0 1 0 3 0 0 1 1 0 1 0 1
"cunning" 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 4 0 0 0 1 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 5 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 3 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 2 1 0 2 0 0 1 0 1 0 0 0 0 0 0 0 2 0 3 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0
"curious" 0 0 0 0 0 0 2 1 1 4 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 3 0 1 0 0 0 2 5 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 1 0 1 0 0 0 0 0 2 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 1 2 0 1 0 2 3 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 2 0 0 0 0 0 0 0 1 1 0 0 1 0 2 0 0 4 0 0 0 1 0 0 2 0 0 1 0 2 1 1 0 1 1 0 2 0 0 0 1 1 1 0 1 0 0 1 0 1 2 2 0 0 0 0 0 1 1 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 1 1 0 1 0 1
"dainty" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"deep" 1 1 0 1 1 0 1 3 2 7 0 1 0 0 2 2 4 0 0 0 5 2 3 1 0 4 1 2 1 1 0 2 4 0 0 0 1 0 0 4 0 2 1 1 0 0 1 0 1 0 1 1 0 1 1 0 2 7 4 1 1 0 0 0 0 0 0 0 1 0 3 1 0 1 1 1 1 1 0 0 2 0 4 3 1 4 2 1 1 0 0 3 0 0 0 1 2 2 1 0 2 1 0 0 0 1 0 0 1 1 0 1 1 2 0 3 0 0 2 1 0 0 6 0 1 0 1 2 2 0 0 1 0 0 4 1 0 0 5 7 0 0 2 0 0 0 12 0 0 3 0 1 6 0 2 5 4 0 0 0 1 0 1 2 2 4 0 0 1 0 0 1 1 6 0 0 3 1 0 3 0 2 1 0 1 3 0 1 2 0 0 0 0 2 1 2 0 0 1 0 0 1 3 1 5 0 4 0 0 0 4 1 0
"dependent" 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 2 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"determined" 0 0 0 1 0 1 1 1 1 3 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 2 0 0 2 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 2 1 1 0 0 0 0
"devilish" 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"direct" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"disdainful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0
"dissatisfied" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0
"distant" 0 0 1 0 0 0 4 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 1 1 0 0 2 1 0 0 0 0 0 0 3 1 3 0 0 0 1 0 0 1 0 0 0 2 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 3 1 1 0 0 2 0 0 1 0 0 0 1 0 0 0 0 1 0 2 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 3 0 1 0 0 4 0 0 2 0 0 0 2 0 1 1 0 0 2 1 2 0 4 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 1 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 1 1 1 1 1
