"accomplished" "accustomed" "afraid" "appropriate" "beautiful" "best" "calm" "capable" "careful" "charitable" "cheerful" "clean" "clever" "comfortable" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "determined" "different" "direct" "effective" "encouraged" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "free" "friendly" "funny" "generous" "gentle" "genuine" "greatest" "happier" "happy" "honest" "humble" "independent" "interesting" "legal" "liberal" "married" "mighty" "minded" "modest" "moral" "mysterious" "natural" "neat" "official" "original" "peaceful" "playful" "pleasant" "polite" "powerful" "productive" "professional" "proud" "prudent" "qualified" "quiet" "reasonable" "rich" "richest" "safe" "selfish" "smart" "special" "standing" "strong" "superior" "thoughtful" "threatening" "top" "united" "weak" "wealthy" "universal" "unpleasant" "wise" "worth" "sacred" "unprecedented"
"clever" 0 1 4 0 4 3 0 0 3 0 1 1 0 1 0 2 1 1 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 2 1 0 0 1 0 0 0 1 0 0 0 1 2 1 0 0 0 1 1 1 0 0 0 0 0 2 2 0 1 0 1 0 2 1 0 3 0 0 2 1 0 1 1 0 0 1 1 0 0
"comfortable" 0 0 1 0 3 1 1 0 0 0 2 2 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 1 1 1 0 2 0 1 0 2 1 0 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 2 0 0 0 1 0 3 0 0 0 0 1 0 0
"cruel" 0 1 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 3 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 1 0 0
"curious" 0 0 4 1 2 4 0 0 1 0 2 1 2 1 0 0 1 1 0 1 1 1 0 1 0 0 0 2 1 0 0 1 0 0 2 0 2 0 1 2 0 0 1 2 0 0 1 0 1 1 0 1 0 1 0 1 1 1 0 0 0 1 0 2 0 2 0 1 0 2 0 1 0 1 0 0 1 0 4 0 1 0 0 0 0 0 0 0 1 0 0 0
"dangerous" 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0
"delicate" 1 1 2 0 4 2 0 0 0 0 0 2 1 0 0 1 0 0 1 1 0 0 1 1 1 0 0 1 0 2 2 3 0 0 1 0 1 1 2 1 0 1 2 2 0 0 0 1 0 1 1 0 1 0 0 1 2 0 1 0 0 4 1 2 0 1 1 0 0 2 0 1 1 0 0 1 0 0 5 0 1 0 0 0 1 0 1 0 0 0 0 0
"delicious" 0 1 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"delighted" 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 2 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0
"determined" 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"different" 0 0 2 0 1 3 1 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 1 1 1 4 0 0 1 1 1 1 0 0 0 1 1 1 1 1 0 0 0 0 1 0 2 0 0 2 2 1 4 1 1 0 2 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0
"direct" 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"effective" 0 1 1 0 2 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"encouraged" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 2 0 0
"exciting" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"expensive" 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"extraordinary" 0 0 1 1 2 3 1 0 1 0 1 1 0 3 0 2 0 1 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 2 0 1 0 1 1 0 0 3 1 1 0 1 0 0 1 0 0 1 0 1 1 2 1 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 2 1 0 0
"extreme" 0 1 0 1 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0
"fair" 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 2 0 0 2 1 0 0 3 1 0 1 3 0 0 1 2 1 1 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 1 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0
"faithful" 0 0 0 0 1 3 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 4 0 1 1 2 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"familiar" 1 0 2 1 1 1 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 1 3 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 3 0 1 0 0 0 1 0 1 0 0 0 0 0
"famous" 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"fancy" 0 0 1 0 2 1 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"free" 0 0 2 0 1 7 0 0 3 1 0 0 0 1 1 2 0 1 0 0 1 1 0 0 1 1 0 2 0 3 4 0 1 1 0 1 2 1 2 0 1 0 4 1 2 1 0 1 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 2 2 0 3 0 0 0 4 1 0 1 1 3 0 0 0 0 0 1 0 0 1 0 2 1 1
"friendly" 0 0 1 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0
"funny" 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"generous" 1 0 1 0 2 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0
"gentle" 1 0 3 2 6 5 3 1 2 0 2 4 1 2 0 1 1 2 1 1 0 2 0 0 1 0 1 1 0 3 2 1 0 1 2 0 0 2 0 0 0 2 10 1 2 0 1 0 0 0 0 0 0 0 1 2 3 0 1 1 0 6 1 0 1 1 4 0 1 5 0 2 1 2 2 1 3 0 6 1 3 0 0 0 5 1 0 0 1 1 0 0
"genuine" 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0
"greatest" 0 0 0 0 1 4 0 1 1 1 0 0 2 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 2 0 0 0 2 0 0 0 0 0 0 0 1 1
"happier" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 2 0 1 0 2 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0
"happy" 2 0 3 0 9 6 4 0 2 1 7 3 2 2 3 1 0 2 1 3 1 4 0 0 2 0 1 3 0 2 1 1 1 2 4 0 1 2 10 1 1 2 0 2 2 0 1 0 0 1 4 1 0 0 1 1 5 1 1 4 0 4 0 1 1 0 3 1 1 9 1 3 1 3 1 2 1 1 12 1 1 0 0 0 6 1 1 1 2 2 2 1
"honest" 0 0 3 1 1 5 1 0 2 1 3 0 1 1 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0 1 1 3 1 1 1 0 0 0 1 1 2 1 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 2 0 0 1 1 0 0 0 1 3 0 0 1 1 0 1 0 0 0 0 0 0 1
"humble" 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 2 0 0 0 2 0 0 1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 2 0 2 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"independent" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"interesting" 0 0 1 0 1 1 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0
"legal" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"liberal" 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"married" 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0
"mighty" 1 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 4 0 1 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 1 0 2 1 1 0 0 0 0 0 0 2 1 0 1 1 0 0 0 1 0 0 0 1 0
"minded" 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"modest" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"moral" 0 0 1 0 0 2 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0
"mysterious" 0 0 2 0 1 2 1 0 1 0 1 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0
"natural" 1 0 3 1 0 2 0 1 1 0 0 1 2 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 1 1 0 0 0
"neat" 1 0 1 0 3 0 1 0 1 0 0 3 1 1 0 1 0 2 1 1 0 1 0 0 1 0 0 2 0 0 0 1 0 0 1 0 1 1 3 0 0 0 5 0 1 0 1 0 0 0 1 0 0 0 0 2 0 0 0 2 0 2 0 0 0 0 0 0 1 3 0 1 0 0 0 1 0 0 2 0 0 0 0 0 3 1 1 0 1 1 0 0
"official" 0 0 0 0 0 3 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 2 0 0 1 0 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 2 0 0 0
"original" 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0
"peaceful" 0 0 1 0 3 1 2 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 4 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0
"playful" 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"pleasant" 0 1 1 0 4 5 1 0 0 0 2 2 1 2 0 1 0 4 1 1 0 1 0 1 1 0 0 0 0 1 1 1 0 0 1 1 1 0 6 0 1 1 4 1 2 1 0 0 0 1 1 2 0 0 1 0 2 1 1 1 1 0 0 0 0 2 0 0 0 4 0 3 2 1 0 1 1 0 4 0 1 1 1 0 1 0 0 0 0 1 0 0
"polite" 0 0 2 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0
"powerful" 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"productive" 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"professional" 0 2 1 0 1 4 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0
"proud" 0 0 1 0 3 3 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 2 0 0 0 2 0 1 1 4 0 1 1 3 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"prudent" 0 0 1 0 0 2 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"qualified" 0 0 0 0 0 1 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0
