"bumble::respectful";"mann::respectful"
"bedwin::eager";"brownlow::eager"
"bedwin::eager";"brownlow::weak"
"bedwin::eager";"grimwig::eager"
"bedwin::eager";"grimwig::weak"
"bedwin::eager";"oliver::eager"
"bedwin::eager";"oliver::weak"
"bedwin::weak";"brownlow::eager"
"bedwin::weak";"brownlow::weak"
"bedwin::weak";"grimwig::eager"
"bedwin::weak";"grimwig::weak"
"bedwin::weak";"oliver::eager"
"bedwin::weak";"oliver::weak"
"brownlow::eager";"brownlow::weak"
"brownlow::eager";"grimwig::eager"
"brownlow::eager";"grimwig::weak"
"brownlow::eager";"oliver::eager"
"brownlow::eager";"oliver::weak"
"brownlow::weak";"grimwig::eager"
"brownlow::weak";"grimwig::weak"
"brownlow::weak";"oliver::eager"
"brownlow::weak";"oliver::weak"
"grimwig::eager";"grimwig::weak"
"grimwig::eager";"oliver::eager"
"grimwig::eager";"oliver::weak"
"grimwig::weak";"oliver::eager"
"grimwig::weak";"oliver::weak"
"oliver::eager";"oliver::weak"
"brownlow::serious";"oliver::serious"
"bumble::impatient";"grimwig::impatient"
"bumble::impatient";"oliver::impatient"
"grimwig::impatient";"oliver::impatient"
"brownlow::rough";"grimwig::rough"
"brownlow::rough";"oliver::rough"
"grimwig::rough";"oliver::rough"
"grimwig::strong";"oliver::strong"
"brownlow::strong";"grimwig::strong"
"brownlow::strong";"oliver::strong"
"brownlow::particular";"brownlow::true"
"brownlow::particular";"grimwig::particular"
"brownlow::particular";"grimwig::true"
"brownlow::particular";"oliver_twist::particular"
"brownlow::particular";"oliver_twist::true"
"brownlow::particular";"oliver::particular"
"brownlow::particular";"oliver::true"
"brownlow::true";"grimwig::particular"
"brownlow::true";"grimwig::true"
"brownlow::true";"oliver_twist::particular"
"brownlow::true";"oliver_twist::true"
"brownlow::true";"oliver::particular"
"brownlow::true";"oliver::true"
"grimwig::particular";"grimwig::true"
"grimwig::particular";"oliver_twist::particular"
"grimwig::particular";"oliver_twist::true"
"grimwig::particular";"oliver::particular"
"grimwig::particular";"oliver::true"
"grimwig::true";"oliver_twist::particular"
"grimwig::true";"oliver_twist::true"
"grimwig::true";"oliver::particular"
"grimwig::true";"oliver::true"
"oliver_twist::particular";"oliver_twist::true"
"oliver_twist::particular";"oliver::particular"
"oliver_twist::particular";"oliver::true"
"oliver_twist::true";"oliver::particular"
"oliver_twist::true";"oliver::true"
"oliver::particular";"oliver::true"
"bedwin::cold";"bedwin::sure"
"bedwin::cold";"oliver::cold"
"bedwin::cold";"oliver::sure"
"bedwin::sure";"oliver::cold"
"bedwin::sure";"oliver::sure"
"oliver::cold";"oliver::sure"
"bedwin::sweet";"oliver::sweet"
"grimwig::confident";"grimwig::strong"
"nancy::gloomy";"william_sikes::gloomy"
"nancy::fresh";"william_sikes::fresh"
"barney::silent";"nancy::silent"
"nancy::irrepressible";"oliver::irrepressible"
"bedwin::open";"oliver::open"
"oliver::soft";"sikes::soft"
"bates::facetious";"bates::irrepressible"
"bates::loud";"fagin::loud"
"master_bates::boisterous";"master_bates::lively"
"master_bates::boisterous";"oliver::boisterous"
"master_bates::boisterous";"oliver::lively"
"master_bates::lively";"oliver::boisterous"
"master_bates::lively";"oliver::lively"
"oliver::boisterous";"oliver::lively"
"fagin::certain";"fagin::particular"
"fagin::certain";"nancy::certain"
"fagin::certain";"nancy::particular"
"fagin::particular";"nancy::certain"
"fagin::particular";"nancy::particular"
"nancy::certain";"nancy::particular"
"fagin::fierce";"fagin::strong"
"nancy::rapid";"sikes::rapid"
"bill::civil";"sikes::civil"
"betsy::feminine";"charley::feminine"
"betsy::feminine";"oliver::feminine"
"charley::feminine";"oliver::feminine"
"oliver::cowardly";"oliver::sanguinary"
"bedwin::gentle";"bedwin::grateful"
"oliver::gay";"oliver::handsome"
"oliver::melancholy";"oliver::rusty"
"bates::ferocious";"dawkins::ferocious"
"master_bates::strong";"sikes::strong"
"bates::dependent";"bates::haughty"
"bates::curious";"bates::lively"
"fagin::constant";"oliver::constant"
"oliver::tight";"oliver::windy"
"sikes::restless";"sikes::second"
"sikes::restless";"sikes::suspicious"
"sikes::second";"sikes::suspicious"
"bill::military";"sikes::military"
"bill::military";"toby_crackit::military"
"sikes::military";"toby_crackit::military"
"bill::sure";"bill::surly"
"bill::sure";"sikes::sure"
"bill::sure";"sikes::surly"
"bill::sure";"toby::sure"
"bill::sure";"toby::surly"
"bill::surly";"sikes::sure"
"bill::surly";"sikes::surly"
"bill::surly";"toby::sure"
"bill::surly";"toby::surly"
"sikes::sure";"sikes::surly"
"sikes::sure";"toby::sure"
"sikes::sure";"toby::surly"
"sikes::surly";"toby::sure"
"sikes::surly";"toby::surly"
"toby::sure";"toby::surly"
"oliver::responsible";"sikes::responsible"
"oliver::responsible";"toby_crackit::responsible"
"oliver::responsible";"william_sikes::responsible"
"sikes::responsible";"toby_crackit::responsible"
"sikes::responsible";"william_sikes::responsible"
"toby_crackit::responsible";"william_sikes::responsible"
"oliver::strong";"william_sikes::strong"
"fagin::silent";"fagin::surly"
"fagin::silent";"oliver::silent"
"fagin::silent";"oliver::surly"
"fagin::surly";"oliver::silent"
"fagin::surly";"oliver::surly"
"oliver::silent";"oliver::surly"
"fagin::heavy";"sikes::heavy"
"nancy::cold";"oliver::cold"
"nancy::serious";"oliver::serious"
"nancy::serious";"sikes::serious"
"oliver::serious";"sikes::serious"
"nancy::pleasant";"sikes::pleasant"
"oliver::surly";"sikes::surly"
"nancy::rough";"sikes::rough"
"oliver::fast";"oliver::rapid"
"oliver::fast";"sikes::fast"
"oliver::fast";"sikes::rapid"
"oliver::rapid";"sikes::fast"
"oliver::rapid";"sikes::rapid"
"sikes::fast";"sikes::rapid"
"oliver::certain";"oliver::cold"
"oliver::certain";"sikes::certain"
"oliver::certain";"sikes::cold"
"oliver::cold";"sikes::certain"
"oliver::cold";"sikes::cold"
"sikes::certain";"sikes::cold"
"oliver::gloomy";"oliver::heavy"
"oliver::gloomy";"toby_crackit::gloomy"
"oliver::gloomy";"toby_crackit::heavy"
"oliver::heavy";"toby_crackit::gloomy"
"oliver::heavy";"toby_crackit::heavy"
"toby_crackit::gloomy";"toby_crackit::heavy"
"fagin::open";"oliver::open"
"fagin::open";"sikes::open"
"oliver::open";"sikes::open"
"crackit::silent";"sikes::silent"
"oliver::loud";"oliver::sudden"
"corney::cheerful";"corney::grateful"
"corney::cheerful";"oliver_twist::cheerful"
"corney::cheerful";"oliver_twist::grateful"
"corney::grateful";"oliver_twist::cheerful"
"corney::grateful";"oliver_twist::grateful"
"oliver_twist::cheerful";"oliver_twist::grateful"
"bumble::cheerful";"bumble::domestic"
"bumble::cheerful";"bumble::frolicsome"
"bumble::domestic";"bumble::frolicsome"
"bumble::open-handed";"corney::open-handed"
"bumble::particular";"corney::particular"
"fagin::cheerful";"fagin::rusty"
"fagin::cheerful";"oliver::cheerful"
"fagin::cheerful";"oliver::rusty"
"fagin::rusty";"oliver::cheerful"
"fagin::rusty";"oliver::rusty"
"oliver::cheerful";"oliver::rusty"
"chitling::close";"chitling::earnest"
"bates::close";"chitling::close"
"betsy::sweet";"charley::sweet"
"betsy::sweet";"master_bates::sweet"
"charley::sweet";"master_bates::sweet"
"fagin::particular";"fagin::straight"
"fagin::general";"fagin::loud"
"bumble::exact";"corney::exact"
"bumble::virtuous";"corney::virtuous"
"bumble::pleasant";"bumble::stately"
"bumble::#-weak";"bumble::excitable"
"bumble::chaste";"bumble::passionate"
"bumble::affectionate";"bumble::cold"
"claypole::intense";"claypole::strong"
"oliver::second";"sikes::second"
"crackit::violent";"sikes::violent"
"sikes::lonely";"sikes::open"
"giles::loud";"giles::strong"
"miss_rose::sure";"rose::sure"
"maylie::loquacious";"oliver::loquacious"
"maylie::ferocious";"oliver::ferocious"
"losberne::kind-hearted";"oliver::kind-hearted"
"losberne::quiet";"losberne::weak"
"losberne::quiet";"oliver::quiet"
"losberne::quiet";"oliver::weak"
"losberne::weak";"oliver::quiet"
"losberne::weak";"oliver::weak"
"oliver::quiet";"oliver::weak"
"giles::weak";"oliver::weak"
"brittles::domestic";"giles::domestic"
"duff::easy";"wery::easy"
"chickweed::active";"jem_spyers::active"
"chickweed::active";"jem::active"
"jem_spyers::active";"jem::active"
"duff::muddle-headed";"giles::muddle-headed"
"losberne::kind-hearted";"maylie::kind-hearted"
"losberne::kind-hearted";"rose::kind-hearted"
"maylie::kind-hearted";"oliver::kind-hearted"
"maylie::kind-hearted";"rose::kind-hearted"
"oliver::kind-hearted";"rose::kind-hearted"
"oliver::eager";"oliver::gentle"
"oliver::eager";"oliver::slow"
"oliver::eager";"oliver::strong"
"oliver::eager";"oliver::sweet"
"oliver::eager";"oliver::tearful"
"oliver::gentle";"oliver::slow"
"oliver::gentle";"oliver::strong"
"oliver::gentle";"oliver::sweet"
"oliver::gentle";"oliver::tearful"
"oliver::slow";"oliver::strong"
"oliver::slow";"oliver::sweet"
"oliver::slow";"oliver::tearful"
"oliver::strong";"oliver::sweet"
"oliver::strong";"oliver::tearful"
"oliver::sweet";"oliver::tearful"
"losberne::sure";"oliver::sure"
"losberne::fearful";"oliver::fearful"
"brownlow::straight";"oliver::straight"
"bedwin::bitter";"bedwin::cruel"
"bedwin::bitter";"brownlow::bitter"
"bedwin::bitter";"brownlow::cruel"
"bedwin::bitter";"oliver::bitter"
"bedwin::bitter";"oliver::cruel"
"bedwin::cruel";"brownlow::bitter"
"bedwin::cruel";"brownlow::cruel"
"bedwin::cruel";"oliver::bitter"
"bedwin::cruel";"oliver::cruel"
"brownlow::bitter";"brownlow::cruel"
"brownlow::bitter";"oliver::bitter"
"brownlow::bitter";"oliver::cruel"
"brownlow::cruel";"oliver::bitter"
"brownlow::cruel";"oliver::cruel"
"oliver::bitter";"oliver::cruel"
"maylie::quick";"rose::quick"
"maylie::gentle";"maylie::pleasant"
"maylie::gentle";"rose::gentle"
"maylie::gentle";"rose::pleasant"
"maylie::pleasant";"rose::gentle"
"maylie::pleasant";"rose::pleasant"
"rose::gentle";"rose::pleasant"
"maylie::fresh";"oliver::fresh"
"oliver::hearty";"rose::hearty"
"oliver_twist::fervent";"oliver_twist::sensitive"
"oliver::affectionate";"oliver::dependent"
"oliver::affectionate";"oliver::gentle"
"oliver::dependent";"oliver::gentle"
"oliver::certain";"rose::certain"
"maylie::silent";"oliver::silent"
"oliver::certain";"oliver::sure"
"losberne::active";"maylie::active"
"losberne::active";"oliver::active"
"maylie::active";"oliver::active"
"oliver::cold";"oliver::sudden"
"oliver::earnest";"oliver::zealous"
"oliver::joyful";"oliver::quiet"
"oliver::second";"oliver::stentorian"
"maylie::cold";"maylie::enthusiastic"
"maylie::cold";"maylie::exact"
"maylie::cold";"maylie::generous"
"maylie::enthusiastic";"maylie::exact"
"maylie::enthusiastic";"maylie::generous"
"maylie::exact";"maylie::generous"
"maylie::impatient";"mother::impatient"
"harry_maylie::thoughtful";"harry::thoughtful"
"harry_maylie::thoughtful";"oliver::thoughtful"
"harry::thoughtful";"oliver::thoughtful"
"maylie::heavy";"oliver::heavy"
"maylie::quick";"oliver::quick"
"maylie::busy";"oliver::busy"
"giles::heavy";"harry_maylie::heavy"
"giles::heavy";"oliver::heavy"
"harry_maylie::heavy";"oliver::heavy"
"harry::heavy";"rose::heavy"
"harry::earnest";"harry::true"
"harry::earnest";"rose::earnest"
"harry::earnest";"rose::true"
"harry::true";"rose::earnest"
"harry::true";"rose::true"
"rose::earnest";"rose::true"
"harry_harry::stately";"harry_harry::sudden"
"harry_maylie::boisterous";"maylie::boisterous"
"harry_maylie::boisterous";"oliver::boisterous"
"maylie::boisterous";"oliver::boisterous"
"bumble::brute";"bumble::decisive"
"bumble::brute";"bumble::hard-hearted"
"bumble::brute";"bumble::loud"
"bumble::decisive";"bumble::hard-hearted"
"bumble::decisive";"bumble::loud"
"bumble::hard-hearted";"bumble::loud"
"bumble::sudden";"corney::sudden"
"bumble::delicate";"bumble::strong"
"bumble::fierce";"bumble::melancholy"
"bumble::fierce";"bumble::warlike"
"bumble::melancholy";"bumble::warlike"
"bill::weak";"sikes::weak"
"nancy::violent";"sikes::violent"
"bill::fresh";"charley::fresh"
"bill::fresh";"dawkins::fresh"
"bill::fresh";"fagin::fresh"
"charley::fresh";"dawkins::fresh"
"charley::fresh";"fagin::fresh"
"dawkins::fresh";"fagin::fresh"
"bates::jolly";"charley::jolly"
"bates::jolly";"sikes::jolly"
"charley::jolly";"sikes::jolly"
"bill::bitter";"sikes::bitter"
"fagin::handy";"fagin::true"
"fagin::handy";"nancy::handy"
"fagin::handy";"nancy::true"
"fagin::true";"nancy::handy"
"fagin::true";"nancy::true"
"nancy::handy";"nancy::true"
"fagin::pleasant";"fagin::rough"
"fagin::pleasant";"fagin::sly"
"fagin::pleasant";"fagin::wary"
"fagin::pleasant";"nancy::pleasant"
"fagin::pleasant";"nancy::rough"
"fagin::pleasant";"nancy::sly"
"fagin::pleasant";"nancy::wary"
"fagin::pleasant";"sikes::pleasant"
"fagin::pleasant";"sikes::rough"
"fagin::pleasant";"sikes::sly"
"fagin::pleasant";"sikes::wary"
"fagin::rough";"fagin::sly"
"fagin::rough";"fagin::wary"
"fagin::rough";"nancy::pleasant"
"fagin::rough";"nancy::rough"
"fagin::rough";"nancy::sly"
"fagin::rough";"nancy::wary"
"fagin::rough";"sikes::pleasant"
"fagin::rough";"sikes::rough"
"fagin::rough";"sikes::sly"
"fagin::rough";"sikes::wary"
"fagin::sly";"fagin::wary"
"fagin::sly";"nancy::pleasant"
"fagin::sly";"nancy::rough"
"fagin::sly";"nancy::sly"
"fagin::sly";"nancy::wary"
"fagin::sly";"sikes::pleasant"
"fagin::sly";"sikes::rough"
"fagin::sly";"sikes::sly"
"fagin::sly";"sikes::wary"
"fagin::wary";"nancy::pleasant"
"fagin::wary";"nancy::rough"
"fagin::wary";"nancy::sly"
"fagin::wary";"nancy::wary"
"fagin::wary";"sikes::pleasant"
"fagin::wary";"sikes::rough"
"fagin::wary";"sikes::sly"
"fagin::wary";"sikes::wary"
"nancy::pleasant";"nancy::rough"
"nancy::pleasant";"nancy::sly"
"nancy::pleasant";"nancy::wary"
"nancy::pleasant";"sikes::rough"
"nancy::pleasant";"sikes::sly"
"nancy::pleasant";"sikes::wary"
"nancy::rough";"nancy::sly"
"nancy::rough";"nancy::wary"
"nancy::rough";"sikes::pleasant"
"nancy::rough";"sikes::sly"
"nancy::rough";"sikes::wary"
"nancy::sly";"nancy::wary"
"nancy::sly";"sikes::pleasant"
"nancy::sly";"sikes::rough"
"nancy::sly";"sikes::sly"
"nancy::sly";"sikes::wary"
"nancy::wary";"sikes::pleasant"
"nancy::wary";"sikes::rough"
"nancy::wary";"sikes::sly"
"nancy::wary";"sikes::wary"
"sikes::pleasant";"sikes::rough"
"sikes::pleasant";"sikes::sly"
"sikes::pleasant";"sikes::wary"
"sikes::rough";"sikes::sly"
"sikes::rough";"sikes::wary"
"sikes::sly";"sikes::wary"
"bates::solemn";"fagin::solemn"
"bates::solemn";"sikes::solemn"
"fagin::solemn";"sikes::solemn"
"nancy::affectionate";"sikes::affectionate"
"chitling::haughty";"toby_crackit::haughty"
"crackit::heavy";"fagin::heavy"
"crackit::heavy";"tom::heavy"
"fagin::heavy";"tom::heavy"
"fagin::sure";"tom::sure"
"sikes::contrary";"sikes::violent"
"fagin::bold";"fagin::dogged"
"fagin::bold";"fagin::nervous"
"fagin::bold";"fagin::subtle"
"fagin::bold";"sikes::bold"
"fagin::bold";"sikes::dogged"
"fagin::bold";"sikes::nervous"
"fagin::bold";"sikes::subtle"
"fagin::dogged";"fagin::nervous"
"fagin::dogged";"fagin::subtle"
"fagin::dogged";"sikes::bold"
"fagin::dogged";"sikes::dogged"
"fagin::dogged";"sikes::nervous"
"fagin::dogged";"sikes::subtle"
"fagin::nervous";"fagin::subtle"
"fagin::nervous";"sikes::bold"
"fagin::nervous";"sikes::dogged"
"fagin::nervous";"sikes::nervous"
"fagin::nervous";"sikes::subtle"
"fagin::subtle";"sikes::bold"
"fagin::subtle";"sikes::dogged"
"fagin::subtle";"sikes::nervous"
"fagin::subtle";"sikes::subtle"
"sikes::bold";"sikes::dogged"
"sikes::bold";"sikes::nervous"
"sikes::bold";"sikes::subtle"
"sikes::dogged";"sikes::nervous"
"sikes::dogged";"sikes::subtle"
"sikes::nervous";"sikes::subtle"
"nancy::weak";"sikes::weak"
"maylie::virtuous";"nancy::virtuous"
"fagin::certain";"oliver::certain"
"fagin::certain";"rose::certain"
"oliver::earnest";"rose::earnest"
"oliver::eager";"oliver::guileless"
"giles::violent";"oliver::violent"
"brownlow::sure";"rose::sure"
"grimwig::rigid";"rose::rigid"
"brownlow::natural";"nancy::natural"
"brownlow::natural";"oliver::natural"
"nancy::natural";"oliver::natural"
"brownlow::dexterous";"grimwig::dexterous"
"brownlow::dexterous";"oliver::dexterous"
"brownlow::dexterous";"rose_maylie::dexterous"
"grimwig::dexterous";"oliver::dexterous"
"grimwig::dexterous";"rose_maylie::dexterous"
"oliver::dexterous";"rose_maylie::dexterous"
"losberne::solemn";"rose::solemn"
"brownlow::reasonable";"rose::reasonable"
"brownlow::wry";"losberne::wry"
"brownlow::wry";"maylie::wry"
"brownlow::wry";"rose::wry"
"losberne::wry";"maylie::wry"
"losberne::wry";"rose::wry"
"maylie::wry";"rose::wry"
"brownlow::expressive";"maylie::expressive"
"grimwig::hopeless";"harry_maylie::hopeless"
"barney::cold";"noah::cold"
"lor::sly";"lor::ugly"
"barney::friendly";"fagin::friendly"
"fagin::free";"noah::free"
"claypole::loud";"fagin::loud"
"bolter::general";"fagin::general"
"charley::sure";"fagin::sure"
"bates::impatient";"fagin::impatient"
"bolter::sober";"fagin::sober"
"bolter::sober";"noah::sober"
"fagin::sober";"noah::sober"
"bates::free";"bolter::free"
"bates::free";"fagin::free"
"bolter::free";"fagin::free"
"dawkins::strong";"noah::strong"
"bates::impertinent";"noah::impertinent"
"sikes::noisy";"sikes::silent"
"bill::nervous";"fagin::nervous"
"fagin::violent";"sikes::violent"
"fagin::brute";"nance::brute"
"bolter::second";"fagin::second"
"st._paul::heavy";"st._paul::restless"
"noah_claypole::fast";"noah_claypole::sure"
"fagin::quick";"sikes::quick"
"bill::incredulous";"fagin::incredulous"
"fagin::open";"fagin::silent"
"fagin::open";"sikes::silent"
"fagin::silent";"sikes::open"
"fagin::silent";"sikes::silent"
"sikes::open";"sikes::silent"
"fagin::straight";"sikes::straight"
"brownlow::lonely";"edward_leeford::lonely"
"brownlow::dogged";"edward_leeford::dogged"
"chitling::melancholy";"kags::melancholy"
"chitling::melancholy";"toby::melancholy"
"kags::melancholy";"toby::melancholy"
"fagin::hopeless";"toby_crackit::hopeless"
"charley_bates::ugly";"crackit::ugly"
"oliver::quiet";"oliver::strong"
"oliver::quiet";"rose::quiet"
"oliver::quiet";"rose::strong"
"oliver::strong";"rose::quiet"
"oliver::strong";"rose::strong"
"rose::quiet";"rose::strong"
"grimwig::fast";"oliver::fast"
"oliver::nervous";"rose::nervous"
"agnes::penitent";"brownlow::penitent"
"agnes::christian";"brownlow::christian"
"brownlow::tight";"oliver::tight"
"agnes::unhappy";"brownlow::unhappy"
"brownlow::downright";"grimwig::downright"
"brownlow::downright";"harry_maylie::downright"
"grimwig::downright";"harry_maylie::downright"
"maylie::sad";"oliver::sad"
"fagin::impatient";"fagin::unmindful"
"brownlow::honest";"oliver::honest"
"brownlow::fresh";"oliver::fresh"
"fagin::free";"noah_claypole::free"
"fagin::genteel";"noah_claypole::genteel"
"fagin::charitable";"noah_claypole::charitable"
"charles_bates::honest";"sikes::honest"
