"farmer::traitorous";"woodman::traitorous"
"lorry::curious";"manette::curious"
"lorry::earnest";"manette::earnest"
"manette::hopeful";"manette::sudden"
"lorry::honest";"pross::honest"
"charles_darnay::general";"lorry::general"
"charles_darnay::general";"pross::general"
"lorry::general";"pross::general"
"charles::thoughtful";"darnay::thoughtful"
"lucie::quiet";"stryver::quiet"
"darnay::gloomy";"darnay::peevish"
"darnay::gloomy";"darnay::sure"
"darnay::gloomy";"darnay::sweet"
"darnay::gloomy";"lorry::gloomy"
"darnay::gloomy";"lorry::peevish"
"darnay::gloomy";"lorry::sure"
"darnay::gloomy";"lorry::sweet"
"darnay::peevish";"darnay::sure"
"darnay::peevish";"darnay::sweet"
"darnay::peevish";"lorry::gloomy"
"darnay::peevish";"lorry::peevish"
"darnay::peevish";"lorry::sure"
"darnay::peevish";"lorry::sweet"
"darnay::sure";"darnay::sweet"
"darnay::sure";"lorry::gloomy"
"darnay::sure";"lorry::peevish"
"darnay::sure";"lorry::sure"
"darnay::sure";"lorry::sweet"
"darnay::sweet";"lorry::gloomy"
"darnay::sweet";"lorry::peevish"
"darnay::sweet";"lorry::sure"
"darnay::sweet";"lorry::sweet"
"lorry::gloomy";"lorry::peevish"
"lorry::gloomy";"lorry::sure"
"lorry::gloomy";"lorry::sweet"
"lorry::peevish";"lorry::sure"
"lorry::peevish";"lorry::sweet"
"lorry::sure";"lorry::sweet"
"defarge::gloomy";"defarge::steep"
"defarge::gloomy";"jacques_three::gloomy"
"defarge::gloomy";"jacques_three::steep"
"defarge::steep";"jacques_three::gloomy"
"defarge::steep";"jacques_three::steep"
"jacques_three::gloomy";"jacques_three::steep"
"antoine::bitter";"madame_defarge::bitter"
"gabelle::impatient";"monsieur_gabelle::impatient"
"charles::cheerful";"lorry::cheerful"
"charles_darnay::uncertain";"tellson::uncertain"
"charles::strict";"lorry::strict"
"charles_darnay::urgent";"manette::urgent"
"bully_stryver::worldly";"darnay::worldly"
"marquis::generous";"monsieur::generous"
"lucie::confident";"lucie::fervent"
"lucie::confident";"lucie::strong"
"lucie::fervent";"lucie::strong"
"darnay::close";"gabelle::close"
"evremonde::original";"evremonde::stolid"
"la_guillotine::gloomy";"la_guillotine::sudden"
"charles_darnay::compassionate";"charles_darnay::soft"
"jarvis::cold";"jarvis::courageous"
"jarvis::cold";"jarvis::honest"
"jarvis::cold";"tellson::cold"
"jarvis::cold";"tellson::courageous"
"jarvis::cold";"tellson::honest"
"jarvis::courageous";"jarvis::honest"
"jarvis::courageous";"tellson::cold"
"jarvis::courageous";"tellson::courageous"
"jarvis::courageous";"tellson::honest"
"jarvis::honest";"tellson::cold"
"jarvis::honest";"tellson::courageous"
"jarvis::honest";"tellson::honest"
"tellson::cold";"tellson::courageous"
"tellson::cold";"tellson::honest"
"tellson::courageous";"tellson::honest"
"jarvis::strong";"tellson::strong"
"manette::bold";"manette::cool"
"lorry::impetuous";"manette::impetuous"
"charles::melancholy";"lorry::melancholy"
"defarge::gruff";"lorry::gruff"
"charles::strong";"charles::weak"
"lucie::confident";"lucie::persistent"
"lucie::confident";"lucie::steady"
"lucie::persistent";"lucie::steady"
"charles::confident";"charles::steady"
"charles::confident";"charles::strong"
"charles::steady";"charles::strong"
"charles_evremonde::rough";"darnay::rough"
"charles_evremonde::honest";"charles_evremonde::turbulent"
"charles_evremonde::honest";"darnay::honest"
"charles_evremonde::honest";"darnay::turbulent"
"charles_evremonde::turbulent";"darnay::honest"
"charles_evremonde::turbulent";"darnay::turbulent"
"darnay::honest";"darnay::turbulent"
"charles_darnay::cautious";"manette::cautious"
"darnay::patriotic";"evremonde::patriotic"
"darnay::patriotic";"gabelle::patriotic"
"evremonde::patriotic";"gabelle::patriotic"
"manette::faithful";"manette::straightforward"
"cruncher::just";"pross::just"
"pross::gracious";"pross::sweet"
"brutus::cavalier";"cruncher::cavalier"
"brutus::cavalier";"pross::cavalier"
"cruncher::cavalier";"pross::cavalier"
"brutus::limp";"cruncher::limp"
"brutus::limp";"pross::limp"
"cruncher::limp";"pross::limp"
"brutus::loud";"brutus::original"
"brutus::loud";"brutus::voluble"
"brutus::loud";"pross::loud"
"brutus::loud";"pross::original"
"brutus::loud";"pross::voluble"
"brutus::original";"brutus::voluble"
"brutus::original";"pross::loud"
"brutus::original";"pross::original"
"brutus::original";"pross::voluble"
"brutus::voluble";"pross::loud"
"brutus::voluble";"pross::original"
"brutus::voluble";"pross::voluble"
"pross::loud";"pross::original"
"pross::loud";"pross::voluble"
"pross::original";"pross::voluble"
"pross::affectionate";"pross::loving"
"pross::unkind";"solomon::unkind"
"john_solomon::sudden";"solomon_john::sudden"
"pross::friendly";"solomon::friendly"
"lorry::cheery";"tellson::cheery"
"barsad::affectionate";"pross::affectionate"
"barsad::treacherous";"pitt::treacherous"
"antoine::familiar";"antoine::watchful"
"antoine::familiar";"defarge::familiar"
"antoine::familiar";"defarge::watchful"
"antoine::familiar";"madame_defarge::familiar"
"antoine::familiar";"madame_defarge::watchful"
"antoine::familiar";"manette::familiar"
"antoine::familiar";"manette::watchful"
"antoine::watchful";"defarge::familiar"
"antoine::watchful";"defarge::watchful"
"antoine::watchful";"madame_defarge::familiar"
"antoine::watchful";"madame_defarge::watchful"
"antoine::watchful";"manette::familiar"
"antoine::watchful";"manette::watchful"
"defarge::familiar";"defarge::watchful"
"defarge::familiar";"madame_defarge::familiar"
"defarge::familiar";"madame_defarge::watchful"
"defarge::familiar";"manette::familiar"
"defarge::familiar";"manette::watchful"
"defarge::watchful";"madame_defarge::familiar"
"defarge::watchful";"madame_defarge::watchful"
"defarge::watchful";"manette::familiar"
"defarge::watchful";"manette::watchful"
"madame_defarge::familiar";"madame_defarge::watchful"
"madame_defarge::familiar";"manette::familiar"
"madame_defarge::familiar";"manette::watchful"
"madame_defarge::watchful";"manette::familiar"
"madame_defarge::watchful";"manette::watchful"
"manette::familiar";"manette::watchful"
"cruncher::stiff";"cruncher::sudden"
"cruncher::moderate";"lorry::moderate"
"cruncher::serious";"lorry::serious"
"lorry::heavy";"lorry::second"
"lorry::fresh";"lorry::handsome"
"jacques_three::croaking";"jacques_three::restless"
"defarge::exact";"lorry::exact"
"lucie::easy";"madame_defarge::easy"
"lorry::fervent";"lorry::quick"
"charles_darnay::#-easy";"charles_darnay::fresh"
"charles_darnay::resigned";"charles_darnay::selfish"
"carton::close";"carton::reproachful"
"juryman::fearless";"juryman::shrewd"
"juryman::fearless";"juryman::strong"
"juryman::shrewd";"juryman::strong"
"madame_defarge::confident";"madame_defarge::supple"
"cruncher::sure";"pross::sure"
"pross::cold";"pross::open"
"lorry::strong";"lorry::tight"
"madame_defarge::malevolent";"pross::malevolent"
"madame_defarge::sudden";"pross::sudden"
"pross::tight";"pross::vain"
"cruncher::vain";"pross::vain"
