"" "accomplished" "active" "affectionate" "afraid" "agreeable" "alone" "amazing" "amusing" "angry" "anxious" "ashamed" "attentive" "attractive" "average" "awake" "awful" "awkward" "bad" "beautiful" "bitter" "bold" "bright" "brilliant" "busy" "calm" "capable" "careless" "caring" "certain" "charming" "cheap" "cheerful" "clean" "clever" "cold" "comfortable" "conceited" "concerned" "confident" "confused" "conscientious" "consistent" "cool" "critical" "cruel" "curious" "dangerous" "decent" "delighted" "delightful" "demanding" "desirable" "determined" "difficult" "direct" "disappointed" "disgusting" "disrespectful" "distinguished" "disturbed" "eager" "embarrassed" "embarrassing" "employed" "encouraged" "encouraging" "evil" "excellent" "excited" "exhausted" "experienced" "extraordinary" "fair" "faithful" "familiar" "famous" "fine" "firm" "foolish" "fortunate" "forward" "friendly" "frightening" "furious" "generous" "gentle" "genuine" "giving" "glad" "good" "good-looking" "good-natured" "graceful" "gracious" "grateful" "great" "greedy" "handsome" "happy" "hard" "harmless" "helpless" "honest" "hopeful" "ignorant" "impatient" "important" "independent" "innocent" "intellectual" "intelligent" "interested" "interesting" "involved" "irritable" "irritated" "irritating" "jealous" "joyful" "kind" "kind-hearted" "laughing" "liberal" "little" "lively" "lonely" "loud" "lovely" "loving" "lucky" "mature" "mean" "modest" "narrow-minded" "natural" "neat" "neglected" "nice" "noisy" "old" "old-fashioned" "open" "ordinary" "original" "overrated" "patient" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "positive" "pretty" "private" "productive" "prompt" "proper" "proud" "quiet" "reasonable" "religious" "remarkable" "respectable" "respected" "respectful" "rich" "ridiculous" "romantic" "rude" "rushed" "sad" "satisfied" "secure" "self-assured" "selfish" "sensible" "sentimental" "serious" "shallow" "short" "shy" "sincere" "smart" "social" "strange" "strict" "strong" "stubborn" "stupid" "successful" "surprised" "sweet" "sympathetic" "tall" "terrific" "thankful" "thin" "thinking" "thorough" "thoughtless" "tired" "traditional" "troubled" "trusted" "trusting" "uncomfortable" "understanding" "unfriendly" "ungraceful" "unhappy" "unreasonable" "unusual" "useful" "valuable" "violent" "warm" "wealthy" "well" "well-known" "wise" "wonderful" "worthy" "young" "youthful"
"capable" 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 3 0 0 0 0 0 3 0 1 1 1 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 3 1 0 0 0 1 0
"careless" 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 1 0 2 1 3 0 0 0 1 0 3 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 2 2 2 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 3 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 1 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 3 0 0 0 0 3 0
"caring" 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"certain" 0 0 2 0 1 2 0 0 2 1 1 0 0 1 0 0 0 1 2 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 2 0 0 1 0 0 0 0 3 1 0 0 0 1 3 2 0 0 0 0 2 0 0 0 4 0 2 0 2 0 0 0 0 1 2 2 1 7 0 1 0 0 1 5 0 1 5 1 2 0 0 0 1 1 2 1 0 0 1 0 2 0 0 0 0 1 1 5 0 0 0 9 2 0 0 0 0 1 0 2 0 0 1 0 0 0 0 2 0 4 0 0 0 0 1 0 1 2 1 0 4 3 3 1 0 0 0 0 2 0 0 1 0 0 0 2 0 0 1 0 0 1 0 0 1 2 0 0 0 4 0 2 0 0 1 0 0 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 7 1 1 0 0 5 0
"charming" 0 0 2 1 4 3 0 0 1 4 2 1 0 0 2 0 0 3 3 0 1 1 0 0 0 1 2 0 1 0 0 2 0 0 2 2 1 1 1 0 0 0 0 0 1 0 1 2 4 3 1 1 1 1 0 3 0 1 0 0 3 0 1 0 0 0 2 4 2 0 1 1 4 1 0 0 4 0 0 2 5 0 1 0 1 2 0 1 4 10 0 2 0 1 0 9 1 5 6 1 0 0 2 0 0 2 0 1 0 0 0 1 2 1 0 0 0 0 1 7 0 2 0 11 0 0 0 1 0 1 0 2 1 0 2 1 0 0 0 5 0 3 1 0 0 1 0 0 3 1 2 2 1 1 3 1 0 0 1 1 0 1 0 2 1 0 0 0 0 0 0 0 2 6 2 0 0 0 0 1 0 6 0 1 0 0 0 1 2 0 0 0 3 4 0 1 0 1 1 2 0 0 5 0 0 2 0 2 2 0 0 1 1 0 0 2 0 2 0 9 0 0 0 2 11 0
"cheap" 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1
"cheerful" 0 0 2 0 0 2 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 2 0 1 2 0 0 0 1 2 3 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 2 1 1 0 1 0 0 1 0 1 1 0 1 0 2 0 1 0 0 1 0 2 2 4 0 1 0 1 0 4 0 1 5 0 1 0 3 0 1 0 1 0 0 0 1 0 2 0 0 0 0 0 0 3 0 0 0 5 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 4 1 1 0 0 0 0 0 0 0 0 1 2 2 1 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 1 2 0 0 1 0 0 0 3 0 0 0 0 2 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 5 1 1 0 0 3 0
"clean" 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 2 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 2 0
"clever" 0 0 1 2 1 1 0 0 0 1 2 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 2 2 0 2 0 0 1 0 0 0 1 1 1 2 4 1 2 0 0 0 4 0 0 3 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 4 0 0 0 0 0 0 1 2 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 5 0 1 0 0 4 0
"cold" 0 0 2 1 0 3 0 0 1 2 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 3 1 1 1 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 3 0 1 0 0 0 0 2 2 5 0 0 0 1 0 4 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 4 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 1 0 2 1 3 1 1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 2 3 0 1 1 0 1 1 4 0 0 0 0 5 0 3 0 1 1 1 2 0 0 1 1 0 2 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 1 2 0 0 6 0 0 2 0 2 0
"comfortable" 0 0 2 0 2 2 0 0 0 3 1 0 0 0 1 0 0 3 0 0 0 0 1 1 0 1 1 0 1 2 0 3 0 1 0 0 0 2 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 1 2 0 0 0 0 0 3 1 0 0 1 1 1 2 0 1 2 0 1 0 3 0 1 0 0 1 0 3 3 5 0 1 0 0 1 6 0 1 4 2 1 1 2 0 1 1 1 1 0 0 1 0 2 1 0 0 0 1 1 4 0 0 0 7 1 0 0 0 0 1 0 3 1 0 1 1 0 1 0 3 0 2 0 0 0 0 0 0 0 0 1 1 3 1 3 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 2 0 1 0 4 0 2 0 1 3 0 0 0 0 0 2 0 0 0 1 0 0 2 0 1 2 0 0 0 0 0 1 1 0 2 0 0 0 0 1 2 0 8 2 2 0 0 3 0
"conceited" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0
"concerned" 0 0 2 1 2 3 1 1 1 1 3 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 2 0 2 0 0 2 2 0 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 1 0 3 0 0 0 1 2 0 2 4 5 0 1 0 0 0 2 0 1 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 3 1 0 0 4 1 0 2 0 0 1 0 3 0 0 1 0 0 0 0 3 0 2 0 0 0 1 0 0 1 1 1 0 5 2 2 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 2 0 0 0 5 0 2 0 0 2 0 1 0 1 0 1 2 0 0 0 0 0 2 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 8 0 1 0 0 3 1
"confident" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"confused" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0
"conscientious" 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0
"consistent" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0
"cool" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0
"critical" 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"cruel" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0
"curious" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
"dangerous" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"decent" 0 0 2 1 1 1 0 1 0 0 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 2 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 4 0 1 1 0 0 0 3 1 4 0 1 0 0 0 2 0 0 2 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 3 0 0 1 3 0 0 0 0 0 0 0 2 0 1 1 1 0 0 0 2 0 2 1 0 0 1 0 0 1 1 1 0 2 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 3 0 0 0 0 3 1
"delighted" 0 0 1 2 0 2 0 0 2 2 2 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 4 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 3 1 0 1 0 0 2 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 2 2 0 0 1 2 0 0 3 2 0 0 0 2 1 0 1 4 6 0 1 1 0 1 8 0 1 4 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 6 0 0 0 7 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 4 0 3 0 0 1 0 0 1 3 2 1 0 0 0 3 1 0 0 1 1 0 1 0 0 1 1 0 1 0 0 0 0 0 4 2 0 0 0 0 1 0 3 0 0 0 0 0 0 2 0 0 0 2 4 0 0 0 0 0 2 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 2 1 6 0 0 0 3 8 0
"delightful" 1 0 2 4 4 2 1 1 1 2 2 1 1 1 1 1 1 1 2 0 1 0 0 0 0 2 1 1 0 3 1 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 3 0 0 0 2 0 0 2 0 0 0 1 3 0 0 1 1 0 0 3 1 1 0 3 1 1 0 2 4 0 0 0 1 1 0 0 2 0 0 2 3 14 1 2 0 0 1 14 0 5 8 1 0 0 0 0 1 1 1 0 0 0 1 2 0 0 0 1 0 1 0 6 0 0 0 11 2 0 2 0 0 1 0 2 0 0 4 0 1 0 1 7 1 4 2 1 0 0 3 1 3 3 1 1 4 0 5 1 0 0 4 1 1 1 0 2 1 1 1 1 1 0 1 0 0 3 2 1 1 0 1 1 0 7 1 0 1 0 2 0 3 1 3 0 5 2 0 1 0 1 2 3 0 0 3 0 0 0 1 0 2 0 0 0 0 0 2 1 1 0 0 10 0 0 1 1 10 1
"demanding" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0
"desirable" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1 2 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 2 0
"determined" 0 0 1 3 0 6 1 0 2 3 4 0 0 0 1 1 0 1 2 0 3 1 0 0 0 0 0 0 2 1 0 0 0 1 3 0 1 2 0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 2 1 2 1 0 0 0 5 1 0 0 0 0 2 3 0 0 0 1 5 0 0 0 4 1 2 0 3 1 0 1 1 1 0 2 7 10 1 1 0 0 1 5 0 3 5 1 0 0 0 0 1 0 1 0 0 0 0 2 2 0 0 2 0 1 1 7 0 1 1 9 1 0 1 0 1 0 0 4 0 1 1 1 0 1 0 2 0 5 2 0 0 0 3 0 1 2 1 0 3 2 6 1 0 0 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 3 2 0 0 1 3 0 1 1 0 2 0 3 0 1 2 4 5 0 0 1 1 1 2 0 0 2 0 0 1 0 2 1 1 1 1 0 1 0 0 1 1 1 12 0 1 1 1 7 0
