"#-alone" "#-bad" "#-beautiful" "#-blind" "#-clever" "#-considerate" "#-curious" "#-difficult" "#-disappointed" "#-dumb" "#-excited" "#-familiar" "#-frightening" "#-good" "#-happy" "#-loud" "#-old" "#-open" "#-powerful" "#-professional" "#-proud" "#-rich" "#-tired" "abnormal" "abusive" "accomplished" "active" "admirable" "adorable" "adventurous" "affectionate" "afraid" "aggravating" "agreeable" "alcoholic" "alone" "amazing" "amusing" "angry" "anxious" "appealing" "appreciative" "argumentative" "arrogant" "artificial" "artistic" "ashamed" "attentive" "attractive" "average" "awake" "awful" "awkward" "bad" "bashful" "beautiful" "big" "bitter" "blind" "bold" "bored" "boring" "brave" "bright" "brilliant" "businesslike" "busy" "calm" "capable" "careful" "careless" "casual" "cautious" "certain" "charming" "cheap" "cheerful" "childish" "clean" "clever" "clumsy" "cold" "comfortable" "comical" "compassionate" "compatible" "competent" "complicated" "concerned" "confident" "confused" "confusing" "conscientious" "considerate" "consistent" "cool" "corrupt" "courageous" "courteous" "crazy" "cruel" "curious" "dangerous" "daring" "decent" "delighted" "delightful" "dependent" "depressed" "desirable" "determined" "devoted" "difficult" "direct" "disabled" "disappointed" "disgusting" "distinguished" "disturbed" "dumb" "eager" "effective" "elderly" "embarrassed" "encouraging" "energetic" "enthusiastic" "ethical" "evil" "excellent" "exceptional" "excited" "exciting" "exhausted" "experienced" "expressive" "extraordinary" "fair" "faithful" "familiar" "famous" "fascinating" "fat" "feminine" "fine" "firm" "foolish" "forgetful" "forgiving" "fortunate" "friendly" "frightening" "furious" "generous" "gentle" "genuine" "gifted" "glad" "good" "gorgeous" "graceful" "gracious" "grateful" "great" "greedy" "handsome" "happy" "hard" "harmless" "healthy" "helpful" "helpless" "homeless" "honest" "hopeful" "humorous" "ignorant" "imaginative" "impatient" "important" "impressive" "impulsive" "inconsiderate" "independent" "inexperienced" "influential" "informal" "innocent" "insane" "intellectual" "intelligent" "interested" "interesting" "irrational" "irritable" "jealous" "joyful" "kind" "lazy" "liberal" "little" "lively" "lonely" "lonesome" "loud" "lovable" "lovely" "loving" "loyal" "lucky" "mature" "mean" "modest" "moody" "motherly" "muscular" "natural" "neat" "needy" "negative" "nervous" "nice" "noisy" "normal" "obnoxious" "observant" "offensive" "old" "open" "opinionated" "ordinary" "original" "overworked" "passionate" "pathetic" "patient" "peaceful" "persistent" "persuasive" "plain" "playful" "pleasant" "pleased" "polite" "poor" "popular" "positive" "powerful" "practical" "prejudiced" "preoccupied" "presentable" "pretty" "private" "professional" "prominent" "prompt" "proper" "prosperous" "proud" "punctual" "quiet" "reasonable" "rebellious" "reckless" "reliable" "religious" "remarkable" "respectable" "respected" "respectful" "responsible" "rich" "ridiculous" "romantic" "rough" "rude" "sad" "sarcastic" "satisfied" "scared" "secure" "selfish" "sensible" "sensitive" "sentimental" "serious" "shallow" "short" "shy" "sincere" "sleepy" "slender" "slim" "smart" "social" "spontaneous" "stable" "straightforward" "strange" "strict" "strong" "stubborn" "stupid" "successful" "superstitious" "surprised" "suspicious" "sweet" "sympathetic" "talented" "tall" "terrible" "terrific" "thankful" "thin" "thorough" "thoughtful" "tiny" "tired" "tolerant" "tough" "troubled" "trustworthy" "uncomfortable" "uneducated" "unfair" "unhappy" "unlucky" "unreasonable" "unusual" "useful" "valuable" "violent" "warm" "weak" "wealthy" "well" "wise" "wonderful" "worthy" "young" "youthful" "weird" "unfaithful" "traditional" "unemployed"
"busy" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 2 1 0 1 5 0 3 0 4 0 0 0 1 0 0 0 0 0 0 3 1 0 0 0 1 0 3 1 0 2 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 6 0 1 0 0 1 5 1 2 1 0 1 0 0 0 0 0 0 1 0 1 0 2 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 2 0 0 2 1 1 1 1 0 0 0 0 2 2 1 0 0 0 1 1 5 3 3 1 0 0 0 2 0 2 0 0 0 1 0 0 0 1 1 0 5 15 0 0 3 1 17 0 0 3 4 0 1 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 1 3 0 1 20 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 3 2 1 2 0 0 1 0 0 1 0 16 3 0 1 3 0 2 0 2 0 0 0 3 1 1 0 1 7 0 0 1 2 1 1 0 0 2 1 0 0 2 1 4 1 6 1 0 0 0 0 1 0 0 0 1 1 2 2 1 0 1 0 0 1 0 1 0 0 0 2 0 5 2 0 0 0 0 0 0 0 0 0 6 1 4 1 0 2 0 5 1 0 0 0 0 1 0 1 2 1 0 1 1 0 0 2 0 0 0 0 2 0 0 2 1 0 3 1 5 0 2 0 0 0 5 2 0 1 0 0
"calm" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 2 0 0 0 1 4 1 0 1 0 0 1 1 0 0 5 3 0 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 1 0 1 2 0 2 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 2 11 0 0 0 2 10 0 1 3 3 0 0 0 0 0 1 1 2 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 14 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 9 2 0 0 0 0 1 0 0 0 0 0 2 0 0 2 1 4 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 4 2 0 0 0 0 4 3 0 0 0 3 1 0 0 0 0 0 2 0 0 0 1 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 0 0 1 0 1 0 0 0 0 0 1 2 0 2 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 1 1 2 0 0 0 0 0
"capable" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 5 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 3 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 2 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 0 0 0 0 0 0
"careful" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 2 0 1 0 4 0 1 1 3 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 4 1 0 0 1 0 3 1 5 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 2 0 0 0 3 0 1 2 2 0 0 0 0 2 3 0 0 0 0 1 0 0 0 2 0 0 7 14 0 1 2 0 13 0 0 4 1 2 0 0 0 1 1 0 0 3 0 2 2 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 1 4 0 0 14 0 1 0 0 1 0 0 0 0 0 1 2 0 0 0 5 1 0 0 0 0 1 0 0 1 1 13 2 0 1 1 0 0 0 2 0 0 0 2 0 4 2 0 11 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 1 5 2 0 1 0 0 3 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 2 0 0 1 0 7 0 0 1 1 0 1 1 0 0 0 3 2 2 0 0 0 0 2 1 0 0 0 0 1 0 0 0 1 0 0 5 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 3 1 4 2 1 1 7 1 0 0 0 0
"careless" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 2 0 2 1 1 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 1 1 0 1 1 1 1 0 0 1 0 0 0 0 0 3 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 1 0 1 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 6 0 0 0 0 5 0 1 4 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 6 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 5 0 0 0 1 1 0 0 3 1 0 0 0 1 0 2 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0
"casual" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cautious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 0 1 3 0 0 0 0 2 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 1 1 1 0 0 0 0 0
"certain" 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 3 4 1 0 4 6 0 8 0 13 1 1 6 4 0 1 1 0 2 0 7 2 2 0 1 2 2 11 1 11 4 3 6 2 1 1 1 15 2 0 6 5 2 4 3 0 2 0 4 2 3 0 1 8 1 11 6 0 0 0 0 0 0 1 1 0 2 2 1 3 0 1 2 0 4 13 2 1 2 3 2 3 4 3 2 5 11 2 0 0 0 8 1 2 1 2 3 2 0 1 0 0 2 4 3 1 0 1 1 8 1 7 5 6 3 0 0 0 14 2 3 0 0 1 7 1 0 5 6 6 0 25 59 1 0 6 3 47 0 11 14 12 1 1 0 1 0 3 5 2 4 1 3 5 1 0 0 1 2 1 2 5 0 1 0 7 2 0 1 4 0 12 1 1 72 3 2 0 1 0 3 0 0 1 0 2 1 0 0 0 14 2 0 1 0 2 0 0 1 1 0 52 15 0 2 8 0 2 0 6 2 0 1 10 0 9 4 2 32 2 1 1 6 4 0 1 7 9 5 1 1 7 1 11 1 14 1 1 2 0 1 4 1 0 1 2 11 4 0 4 1 0 0 4 2 0 2 7 3 0 0 2 28 3 0 0 0 0 2 6 1 0 0 12 1 16 1 1 2 0 9 1 3 0 0 6 1 1 1 4 0 5 0 8 1 0 3 1 3 0 0 2 1 1 3 2 3 5 2 10 1 5 3 11 5 32 3 1 1 0 1
"charming" 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 1 0 4 0 1 0 0 0 1 0 0 0 0 1 0 2 0 1 0 0 0 0 1 0 5 0 0 1 1 0 0 1 1 1 0 0 3 1 1 0 0 0 4 0 1 0 1 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 3 1 0 1 0 0 2 1 1 1 0 1 0 0 0 2 1 0 0 0 1 1 0 0 1 2 1 0 5 11 0 0 1 0 9 0 1 2 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 3 0 2 0 1 1 0 0 0 0 3 0 1 13 0 0 0 2 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 7 0 0 0 2 0 0 0 0 0 0 0 2 0 2 1 0 5 0 0 0 0 0 1 0 3 0 1 0 0 1 0 1 0 3 0 0 1 0 0 2 1 1 0 0 1 2 0 1 0 0 0 1 0 0 1 2 0 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 6 0 1 0 0 1 0 2 0 1 1 1 0 0 1 0 2 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 1 1 2 0 1 1 2 2 4 0 0 0 0 0
"cheap" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 1 5 0 0 0 0 3 0 0 1 3 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 4 2 0 0 2 0 2 0 0 1 0 1 2 0 2 0 0 3 0 0 1 3 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 3 1 0 0 0 0
"cheerful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 3 0 1 0 3 0 0 3 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 2 0 0 1 1 0 0 0 4 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 1 1 4 3 0 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 2 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 2 10 0 1 0 0 10 0 1 2 0 0 2 0 0 0 1 0 0 0 0 1 2 1 0 0 0 0 0 0 1 0 0 0 2 0 1 0 1 0 1 1 2 12 0 0 0 1 0 2 0 0 0 1 0 1 0 0 0 3 0 0 0 0 1 0 0 0 0 0 7 5 0 0 0 0 1 0 0 0 0 0 1 0 5 0 0 4 0 0 0 1 0 0 0 1 1 1 0 0 2 0 4 0 1 1 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 2 0 2 0 0 0 0 0 0 0 1 2 0 5 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 1 0 0 0 1 0 0 1 0 4 0 7 1 0 0 0 0
"childish" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 4 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 3 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0
"clean" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 2 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 2 0 0 1 0 1 0 2 7 0 0 0 0 7 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 9 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 7 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 2 3 0 0 0 2 0 1 0 2 0 0 0 0 0 1 1 0 0 0 2 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 3 0 0 0 0 0
"clever" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 6 0 6 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 2 0 2 1 2 0 1 2 2 0 0 1 3 0 0 5 1 1 3 0 0 0 8 1 0 1 2 0 0 1 4 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 1 0 1 2 0 0 0 0 0 0 0 0 2 4 7 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 2 1 1 0 0 0 3 1 5 3 5 2 0 1 0 3 2 3 0 0 0 1 1 0 0 0 1 0 7 18 0 1 1 1 15 0 1 3 3 0 1 0 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 0 3 0 1 0 0 1 0 0 0 0 2 0 0 19 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 4 1 0 1 0 0 0 0 0 0 0 18 3 0 0 0 0 0 0 0 0 1 0 1 0 3 0 1 8 0 0 0 0 0 0 0 2 0 1 0 0 2 0 2 1 2 2 0 1 0 0 0 0 0 0 1 1 2 1 2 0 0 0 0 2 0 0 4 0 0 0 0 9 1 0 0 1 0 0 1 0 0 0 6 1 7 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 2 1 0 0 2 0 0 1 1 0 2 0 0 0 4 0 5 2 6 3 1 0 0 0
"clumsy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 3 2 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 1 0 0 0 1 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
"cold" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 3 0 1 0 7 1 0 1 3 0 0 0 0 0 0 3 1 0 1 1 2 2 4 2 5 1 1 4 3 1 0 0 4 1 0 2 2 0 5 0 0 0 11 3 0 4 0 2 4 0 0 5 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 3 5 0 0 0 0 0 0 0 2 0 1 2 0 0 0 0 4 0 0 0 0 1 0 0 0 1 0 1 1 1 1 1 0 0 1 2 3 2 3 1 0 1 0 4 2 1 0 0 1 2 0 0 0 3 2 0 8 21 0 0 2 2 27 1 2 5 5 1 1 0 0 0 3 1 0 2 0 0 4 1 0 0 0 0 1 0 3 0 2 0 3 3 0 1 3 1 8 0 2 32 0 1 0 3 0 1 0 0 1 0 0 2 0 0 0 5 2 0 0 1 0 1 0 0 0 1 22 11 0 1 3 0 0 0 0 0 0 0 3 0 5 2 1 16 0 1 1 1 1 0 0 2 1 1 0 0 3 0 2 1 8 1 0 1 0 0 3 3 1 0 2 3 2 3 2 0 2 0 0 1 0 0 3 2 1 0 3 6 2 0 1 0 0 0 1 0 1 0 6 1 13 0 2 1 0 4 1 2 0 0 2 1 2 2 2 1 0 2 4 0 0 1 0 1 0 0 0 0 0 0 1 0 1 2 7 0 6 1 6 4 17 3 1 0 0 0
"comfortable" 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 2 0 4 0 0 3 4 0 0 0 0 0 1 2 1 0 0 0 1 2 2 0 4 1 0 0 0 0 0 0 6 1 0 1 2 0 1 1 0 0 6 0 1 3 0 1 0 1 5 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 2 1 1 0 1 1 1 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 2 2 1 0 0 1 0 4 0 0 0 0 1 3 0 0 1 1 1 0 6 21 0 0 3 2 14 1 2 5 2 1 0 0 0 0 5 1 0 2 0 2 1 0 0 0 0 0 2 0 3 0 0 0 3 1 0 0 2 0 7 0 1 23 0 1 1 2 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 0 17 3 0 0 1 0 1 0 1 2 0 0 3 0 3 1 1 12 0 1 1 2 0 0 0 2 1 0 0 0 2 1 3 0 5 1 0 1 0 0 0 0 0 0 1 4 0 0 0 0 3 1 0 0 0 0 6 2 0 0 0 8 1 0 0 0 1 1 0 0 0 0 5 0 2 0 2 0 0 2 0 0 0 0 0 0 1 0 1 0 0 1 4 0 0 0 1 1 0 0 1 0 0 0 0 0 2 2 1 0 2 1 2 3 14 3 0 0 0 0
