"afraid" "alone" "anxious" "bad" "blind" "bold" "bright" "busy" "certain" "cheerful" "cold" "difficult" "fair" "fine" "gentle" "glad" "good" "great" "handsome" "happy" "hard" "honest" "little" "loud" "natural" "old" "open" "original" "plain" "pleasant" "poor" "private" "proud" "quiet" "remarkable" "rich" "rough" "sad" "serious" "short" "stable" "strange" "strong" "tall" "terrible" "warm" "wise" "worthy" "young"
"happy" 5 8 2 3 3 7 9 6 9 10 6 4 2 4 8 11 30 34 1 0 3 7 29 2 4 26 10 2 1 9 19 7 11 10 6 4 2 6 4 14 5 8 11 5 3 4 2 3 13
"hard" 5 5 2 6 2 5 7 2 6 2 8 2 4 4 2 4 30 24 6 3 0 5 27 3 5 23 8 3 3 6 12 3 3 7 3 2 2 2 2 15 1 6 7 1 3 3 3 4 17
"honest" 6 2 1 6 2 5 4 2 7 5 7 3 4 2 10 9 30 29 5 7 5 0 24 2 3 27 9 2 2 5 8 4 8 7 2 1 3 2 1 9 2 6 7 1 1 2 1 8 17
"little" 19 28 17 27 18 19 43 17 44 28 35 17 17 27 25 30 136 141 24 29 27 24 0 19 25 120 42 15 16 27 67 23 24 41 12 20 14 12 14 54 14 33 55 15 18 14 16 16 75
"loud" 1 2 0 4 1 2 4 2 6 4 6 1 2 2 1 3 19 23 1 2 3 2 19 0 2 18 9 4 1 2 8 4 6 6 3 1 1 0 2 4 2 3 12 3 3 1 1 2 8
"natural" 4 6 4 3 3 2 4 1 10 3 10 5 1 8 4 6 29 25 3 4 5 3 25 2 0 24 10 4 8 5 10 2 5 4 4 6 3 0 5 12 2 5 5 1 1 5 4 3 15
"old" 17 25 14 26 16 25 45 16 37 24 36 17 18 19 22 30 128 131 22 26 23 27 120 18 24 0 40 11 15 22 53 19 22 44 17 13 14 13 12 46 14 36 56 14 16 14 12 17 76
"open" 7 12 5 10 5 6 12 3 13 9 16 8 6 7 5 12 47 51 6 10 8 9 42 9 10 40 0 5 3 6 19 9 8 16 4 5 6 7 4 19 3 8 13 3 5 4 5 6 26
"original" 3 5 2 6 1 3 3 2 8 2 3 3 2 3 1 4 20 19 3 2 3 2 15 4 4 11 5 0 3 4 10 4 4 4 3 2 1 6 0 12 0 6 7 2 1 1 1 0 11
"plain" 0 5 3 2 3 0 4 3 6 1 6 1 3 3 3 2 18 16 3 1 3 2 16 1 8 15 3 3 0 2 6 1 2 1 3 4 2 1 1 7 2 2 5 1 4 3 2 3 9
"pleasant" 5 4 1 6 4 4 7 3 5 11 8 2 4 5 8 8 25 26 5 9 6 5 27 2 5 22 6 4 2 0 13 4 7 7 3 2 5 2 4 8 2 7 6 2 2 6 2 1 18
"poor" 7 12 7 13 10 12 27 6 19 15 19 8 12 12 12 24 68 69 13 19 12 8 67 8 10 53 19 10 6 13 0 6 19 20 2 10 5 8 7 29 8 15 27 6 7 6 7 3 41
"private" 3 5 2 6 2 3 5 2 11 5 5 1 4 2 5 8 23 24 4 7 3 4 23 4 2 19 9 4 1 4 6 0 3 7 4 4 1 1 3 12 3 6 8 4 3 2 3 3 14
"proud" 5 3 2 6 2 8 8 2 9 5 5 6 5 7 3 10 29 30 5 11 3 8 24 6 5 22 8 4 2 7 19 3 0 6 3 2 5 3 2 9 6 6 7 1 2 1 1 4 15
"quiet" 6 14 4 8 4 8 16 7 11 7 10 8 3 7 10 9 44 44 5 10 7 7 41 6 4 44 16 4 1 7 20 7 6 0 4 8 8 5 8 15 5 16 20 3 10 4 4 5 23
"remarkable" 0 4 0 3 0 3 5 3 5 2 4 1 2 1 1 4 17 15 4 6 3 2 12 3 4 17 4 3 3 3 2 4 3 4 0 0 2 2 0 6 5 5 10 1 3 2 0 1 9
"rich" 2 5 2 1 6 3 8 2 4 4 7 0 0 2 2 4 20 19 2 4 2 1 20 1 6 13 5 2 4 2 10 4 2 8 0 0 0 2 2 9 3 3 5 2 3 3 3 2 9
"rough" 2 2 2 3 3 6 6 1 5 2 7 2 1 5 2 7 21 15 1 2 2 3 14 1 3 14 6 1 2 5 5 1 5 8 2 0 0 0 1 6 1 5 6 1 0 3 1 3 9
"sad" 4 4 0 3 0 1 7 4 5 4 6 1 4 1 1 6 15 13 6 6 2 2 12 0 0 13 7 6 1 2 8 1 3 5 2 2 0 0 1 9 0 9 5 4 2 1 1 1 5
"serious" 2 2 0 3 0 3 3 1 5 3 7 2 1 3 3 7 10 15 5 4 2 1 14 2 5 12 4 0 1 4 7 3 2 8 0 2 1 1 0 6 1 3 5 3 2 1 0 1 7
"short" 5 12 6 10 5 13 19 6 19 9 18 6 9 12 7 19 53 58 11 14 15 9 54 4 12 46 19 12 7 8 29 12 9 15 6 9 6 9 6 0 5 20 23 9 5 6 6 4 34
"stable" 1 2 2 3 2 2 9 1 4 4 2 1 3 2 3 1 16 17 1 5 1 2 14 2 2 14 3 0 2 2 8 3 6 5 5 3 1 0 1 5 0 4 11 0 3 2 3 1 10
"strange" 3 12 3 3 4 8 12 9 12 8 6 3 3 6 4 8 38 34 6 8 6 6 33 3 5 36 8 6 2 7 15 6 6 16 5 3 5 9 3 20 4 0 22 5 4 3 5 4 15
"strong" 2 8 7 10 10 12 19 12 20 10 13 4 8 11 8 9 58 65 6 11 7 7 55 12 5 56 13 7 5 6 27 8 7 20 10 5 6 5 5 23 11 22 0 9 14 4 6 3 31
"tall" 1 5 2 4 0 6 6 3 8 6 7 2 4 2 2 4 14 18 3 5 1 1 15 3 1 14 3 2 1 2 6 4 1 3 1 2 1 4 3 9 0 5 9 0 1 1 3 2 8
"terrible" 5 5 1 1 4 2 8 7 1 3 3 4 2 0 1 2 19 22 2 3 3 1 18 3 1 16 5 1 4 2 7 3 2 10 3 3 0 2 2 5 3 4 14 1 0 1 2 1 6
"warm" 2 5 0 4 1 1 4 3 4 4 8 0 4 3 2 4 14 12 1 4 3 2 14 1 5 14 4 1 3 6 6 2 1 4 2 3 3 1 1 6 2 3 4 1 1 0 1 1 7
"wise" 1 3 4 3 5 3 5 3 8 4 2 0 4 3 2 3 13 13 1 2 3 1 16 1 4 12 5 1 2 2 7 3 1 4 0 3 1 1 0 6 3 5 6 3 2 1 0 1 8
"worthy" 5 2 4 4 4 4 3 1 7 1 6 5 3 4 2 4 24 21 1 3 4 8 16 2 3 17 6 0 3 1 3 3 4 5 1 2 3 1 1 4 1 4 3 2 1 1 1 0 12
"young" 12 14 9 17 10 17 20 6 25 16 18 9 18 13 15 21 86 85 19 13 17 17 75 8 15 76 26 11 9 18 41 14 15 23 9 9 9 5 7 34 10 15 31 8 6 7 8 12 0
