"richard::considerable";"richard::independence"
"george::pleasure";"sarah::pleasure"
"harriet::pleasure";"james::pleasure"
"harriet::pleasure";"mrs_morland::pleasure"
"harriet::pleasure";"richard::pleasure"
"harriet::pleasure";"richie::pleasure"
"harriet::pleasure";"sarah::pleasure"
"james::pleasure";"mrs_morland::pleasure"
"james::pleasure";"richard::pleasure"
"james::pleasure";"richie::pleasure"
"james::pleasure";"sarah::pleasure"
"mrs_morland::pleasure";"richard::pleasure"
"mrs_morland::pleasure";"richie::pleasure"
"mrs_morland::pleasure";"sarah::pleasure"
"richard::pleasure";"richie::pleasure"
"richard::pleasure";"sarah::pleasure"
"richie::pleasure";"sarah::pleasure"
"catherine::understand";"george::understand"
"catherine::understand";"harriet::understand"
"catherine::understand";"james::understand"
"catherine::understand";"mrs_morland::understand"
"catherine::understand";"richard::understand"
"catherine::understand";"richie::understand"
"catherine::understand";"sarah::understand"
"george::understand";"harriet::understand"
"george::understand";"james::understand"
"george::understand";"mrs_morland::understand"
"george::understand";"richard::understand"
"george::understand";"richie::understand"
"george::understand";"sarah::understand"
"harriet::understand";"james::understand"
"harriet::understand";"mrs_morland::understand"
"harriet::understand";"richard::understand"
"harriet::understand";"richie::understand"
"harriet::understand";"sarah::understand"
"james::understand";"mrs_morland::understand"
"james::understand";"richard::understand"
"james::understand";"richie::understand"
"james::understand";"sarah::understand"
"mrs_morland::understand";"richard::understand"
"mrs_morland::understand";"richie::understand"
"mrs_morland::understand";"sarah::understand"
"richard::understand";"richie::understand"
"richard::understand";"sarah::understand"
"richie::understand";"sarah::understand"
"catherine::lives";"mrs_morland::lives"
"catherine::compliance";"mrs_morland::compliance"
"catherine::compliance";"richard::compliance"
"mrs_morland::compliance";"richard::compliance"
"mrs_morland::mischievousness";"mrs_morland::unsuspicious"
"sally::intimate";"sarah::intimate"
"allen::gentlewoman";"allen::intelligent"
"allen::gentlewoman";"allen::quiet"
"allen::intelligent";"allen::quiet"
"catherine::firmly";"mrs_allen::firmly"
"catherine::#-gentleman";"catherine::awkwardness"
"allen::conversation";"allen::gentleman"
"catherine::contented--she";"catherine::humble"
"catherine::contented--she";"catherine::pleasanter"
"catherine::contented--she";"catherine::simple"
"catherine::humble";"catherine::pleasanter"
"catherine::humble";"catherine::simple"
"catherine::pleasanter";"catherine::simple"
"tilney::ceremonies";"tilney::gentlemanlike"
"catherine::naturally";"catherine::proper"
"catherine::earnestly?”";"catherine::meditations"
"catherine::eagerness";"tilney::eagerness"
"mrs_allen::intimate";"mrs_allen::question"
"mrs_allen::intimate";"thorpe::intimate"
"mrs_allen::intimate";"thorpe::question"
"mrs_allen::question";"thorpe::intimate"
"mrs_allen::question";"thorpe::question"
"thorpe::intimate";"thorpe::question"
"allen::affectionate";"morland::affectionate"
"allen::affectionate";"thorpe::affectionate"
"morland::affectionate";"thorpe::affectionate"
"catherine::certainly";"catherine::inquiring"
"catherine::certainly";"catherine::vain"
"catherine::certainly";"thorpe::certainly"
"catherine::certainly";"thorpe::inquiring"
"catherine::certainly";"thorpe::vain"
"catherine::certainly";"tilney::certainly"
"catherine::certainly";"tilney::inquiring"
"catherine::certainly";"tilney::vain"
"catherine::inquiring";"catherine::vain"
"catherine::inquiring";"thorpe::certainly"
"catherine::inquiring";"thorpe::inquiring"
"catherine::inquiring";"thorpe::vain"
"catherine::inquiring";"tilney::certainly"
"catherine::inquiring";"tilney::inquiring"
"catherine::inquiring";"tilney::vain"
"catherine::vain";"thorpe::certainly"
"catherine::vain";"thorpe::inquiring"
"catherine::vain";"thorpe::vain"
"catherine::vain";"tilney::certainly"
"catherine::vain";"tilney::inquiring"
"catherine::vain";"tilney::vain"
"thorpe::certainly";"thorpe::inquiring"
"thorpe::certainly";"thorpe::vain"
"thorpe::certainly";"tilney::certainly"
"thorpe::certainly";"tilney::inquiring"
"thorpe::certainly";"tilney::vain"
"thorpe::inquiring";"thorpe::vain"
"thorpe::inquiring";"tilney::certainly"
"thorpe::inquiring";"tilney::inquiring"
"thorpe::inquiring";"tilney::vain"
"thorpe::vain";"tilney::certainly"
"thorpe::vain";"tilney::inquiring"
"thorpe::vain";"tilney::vain"
"tilney::certainly";"tilney::inquiring"
"tilney::certainly";"tilney::vain"
"tilney::inquiring";"tilney::vain"
"catherine::conversation";"catherine::unreserved"
"catherine::conversation";"isabella::conversation"
"catherine::conversation";"isabella::unreserved"
"catherine::unreserved";"isabella::conversation"
"catherine::unreserved";"isabella::unreserved"
"isabella::conversation";"isabella::unreserved"
"bath::expressions";"mrs_allen::expressions"
"catherine::just";"catherine::kind"
"catherine::silent";"laurentina::silent"
"catherine::independence";"thorpe::independence"
"catherine::gentlemen";"james::gentlemen"
"isabella::carelessly";"isabella::directly"
"isabella::carelessly";"isabella::giving"
"isabella::carelessly";"john_thorpe::carelessly"
"isabella::carelessly";"john_thorpe::directly"
"isabella::carelessly";"john_thorpe::giving"
"isabella::directly";"isabella::giving"
"isabella::directly";"john_thorpe::carelessly"
"isabella::directly";"john_thorpe::directly"
"isabella::directly";"john_thorpe::giving"
"isabella::giving";"john_thorpe::carelessly"
"isabella::giving";"john_thorpe::directly"
"isabella::giving";"john_thorpe::giving"
"john_thorpe::carelessly";"john_thorpe::directly"
"john_thorpe::carelessly";"john_thorpe::giving"
"john_thorpe::directly";"john_thorpe::giving"
"thorpe::determined";"thorpe::just"
"thorpe::determined";"thorpe::kind"
"thorpe::just";"thorpe::kind"
"edgar::gentlemen";"mrs_thorpe::gentlemen"
"catherine::conversation";"john_thorpe::conversation"
"catherine::civilities";"catherine::particulars"
"catherine::humbled";"catherine::question"
"catherine::humbled";"tom_jones::humbled"
"catherine::humbled";"tom_jones::question"
"catherine::question";"tom_jones::humbled"
"catherine::question";"tom_jones::question"
"tom_jones::humbled";"tom_jones::question"
"allen::lived";"anne_thorpe::lived"
"allen::lived";"catherine_morland::lived"
"allen::lived";"catherine::lived"
"allen::lived";"isabella::lived"
"allen::lived";"james::lived"
"allen::lived";"john_thorpe::lived"
"allen::lived";"maria_thorpe::lived"
"allen::lived";"morland::lived"
"allen::lived";"mrs_thorpe::lived"
"allen::lived";"thorpe::lived"
"anne_thorpe::lived";"catherine_morland::lived"
"anne_thorpe::lived";"catherine::lived"
"anne_thorpe::lived";"isabella::lived"
"anne_thorpe::lived";"james::lived"
"anne_thorpe::lived";"john_thorpe::lived"
"anne_thorpe::lived";"maria_thorpe::lived"
"anne_thorpe::lived";"morland::lived"
"anne_thorpe::lived";"mrs_thorpe::lived"
"anne_thorpe::lived";"thorpe::lived"
"catherine_morland::lived";"catherine::lived"
"catherine_morland::lived";"isabella::lived"
"catherine_morland::lived";"james::lived"
"catherine_morland::lived";"john_thorpe::lived"
"catherine_morland::lived";"maria_thorpe::lived"
"catherine_morland::lived";"morland::lived"
"catherine_morland::lived";"mrs_thorpe::lived"
"catherine_morland::lived";"thorpe::lived"
"catherine::lived";"isabella::lived"
"catherine::lived";"james::lived"
"catherine::lived";"john_thorpe::lived"
"catherine::lived";"maria_thorpe::lived"
"catherine::lived";"morland::lived"
"catherine::lived";"mrs_thorpe::lived"
"catherine::lived";"thorpe::lived"
"isabella::lived";"james::lived"
"isabella::lived";"john_thorpe::lived"
"isabella::lived";"maria_thorpe::lived"
"isabella::lived";"morland::lived"
"isabella::lived";"mrs_thorpe::lived"
"isabella::lived";"thorpe::lived"
"james::lived";"john_thorpe::lived"
"james::lived";"maria_thorpe::lived"
"james::lived";"morland::lived"
"james::lived";"mrs_thorpe::lived"
"james::lived";"thorpe::lived"
"john_thorpe::lived";"maria_thorpe::lived"
"john_thorpe::lived";"morland::lived"
"john_thorpe::lived";"mrs_thorpe::lived"
"john_thorpe::lived";"thorpe::lived"
"maria_thorpe::lived";"morland::lived"
"maria_thorpe::lived";"mrs_thorpe::lived"
"maria_thorpe::lived";"thorpe::lived"
"morland::lived";"mrs_thorpe::lived"
"morland::lived";"thorpe::lived"
"mrs_thorpe::lived";"thorpe::lived"
"catherine::affection";"catherine::proud"
"catherine::affection";"thorpe::affection"
"catherine::affection";"thorpe::proud"
"catherine::proud";"thorpe::affection"
"catherine::proud";"thorpe::proud"
"thorpe::affection";"thorpe::proud"
"allen::communications";"allen::digression"
"allen::communications";"allen::kindness"
"allen::communications";"james::communications"
"allen::communications";"james::digression"
"allen::communications";"james::kindness"
"allen::communications";"mrs_allen::communications"
"allen::communications";"mrs_allen::digression"
"allen::communications";"mrs_allen::kindness"
"allen::communications";"thorpe::communications"
"allen::communications";"thorpe::digression"
"allen::communications";"thorpe::kindness"
"allen::digression";"allen::kindness"
"allen::digression";"james::communications"
"allen::digression";"james::digression"
"allen::digression";"james::kindness"
"allen::digression";"mrs_allen::communications"
"allen::digression";"mrs_allen::digression"
"allen::digression";"mrs_allen::kindness"
"allen::digression";"thorpe::communications"
"allen::digression";"thorpe::digression"
"allen::digression";"thorpe::kindness"
"allen::kindness";"james::communications"
"allen::kindness";"james::digression"
"allen::kindness";"james::kindness"
"allen::kindness";"mrs_allen::communications"
"allen::kindness";"mrs_allen::digression"
"allen::kindness";"mrs_allen::kindness"
"allen::kindness";"thorpe::communications"
"allen::kindness";"thorpe::digression"
"allen::kindness";"thorpe::kindness"
"james::communications";"james::digression"
"james::communications";"james::kindness"
"james::communications";"mrs_allen::communications"
"james::communications";"mrs_allen::digression"
"james::communications";"mrs_allen::kindness"
"james::communications";"thorpe::communications"
"james::communications";"thorpe::digression"
"james::communications";"thorpe::kindness"
"james::digression";"james::kindness"
"james::digression";"mrs_allen::communications"
"james::digression";"mrs_allen::digression"
"james::digression";"mrs_allen::kindness"
"james::digression";"thorpe::communications"
"james::digression";"thorpe::digression"
"james::digression";"thorpe::kindness"
"james::kindness";"mrs_allen::communications"
"james::kindness";"mrs_allen::digression"
"james::kindness";"mrs_allen::kindness"
"james::kindness";"thorpe::communications"
"james::kindness";"thorpe::digression"
"james::kindness";"thorpe::kindness"
"mrs_allen::communications";"mrs_allen::digression"
"mrs_allen::communications";"mrs_allen::kindness"
"mrs_allen::communications";"thorpe::communications"
"mrs_allen::communications";"thorpe::digression"
"mrs_allen::communications";"thorpe::kindness"
"mrs_allen::digression";"mrs_allen::kindness"
"mrs_allen::digression";"thorpe::communications"
"mrs_allen::digression";"thorpe::digression"
"mrs_allen::digression";"thorpe::kindness"
"mrs_allen::kindness";"thorpe::communications"
"mrs_allen::kindness";"thorpe::digression"
"mrs_allen::kindness";"thorpe::kindness"
"thorpe::communications";"thorpe::digression"
"thorpe::communications";"thorpe::kindness"
"thorpe::digression";"thorpe::kindness"
"anne_thorpe::ceremonial";"isabella::ceremonial"
"anne_thorpe::ceremonial";"james_morland::ceremonial"
"anne_thorpe::ceremonial";"john_thorpe::ceremonial"
"anne_thorpe::ceremonial";"maria_thorpe::ceremonial"
"anne_thorpe::ceremonial";"mrs_thorpe::ceremonial"
"isabella::ceremonial";"james_morland::ceremonial"
"isabella::ceremonial";"john_thorpe::ceremonial"
"isabella::ceremonial";"maria_thorpe::ceremonial"
"isabella::ceremonial";"mrs_thorpe::ceremonial"
"james_morland::ceremonial";"john_thorpe::ceremonial"
"james_morland::ceremonial";"maria_thorpe::ceremonial"
"james_morland::ceremonial";"mrs_thorpe::ceremonial"
"john_thorpe::ceremonial";"maria_thorpe::ceremonial"
"john_thorpe::ceremonial";"mrs_thorpe::ceremonial"
"maria_thorpe::ceremonial";"mrs_thorpe::ceremonial"
"catherine::certainly";"isabella::certainly"
"catherine::certainly";"james::certainly"
"catherine::certainly";"john::certainly"
"isabella::certainly";"james::certainly"
"isabella::certainly";"john::certainly"
"james::certainly";"john::certainly"
"catherine::impatient";"catherine::kindness"
"catherine::impatient";"isabella::impatient"
"catherine::impatient";"isabella::kindness"
"catherine::impatient";"james::impatient"
"catherine::impatient";"james::kindness"
"catherine::impatient";"john::impatient"
"catherine::impatient";"john::kindness"
"catherine::kindness";"isabella::impatient"
"catherine::kindness";"isabella::kindness"
"catherine::kindness";"james::impatient"
"catherine::kindness";"james::kindness"
"catherine::kindness";"john::impatient"
"catherine::kindness";"john::kindness"
"isabella::impatient";"isabella::kindness"
"isabella::impatient";"james::impatient"
"isabella::impatient";"james::kindness"
"isabella::impatient";"john::impatient"
"isabella::impatient";"john::kindness"
"isabella::kindness";"james::impatient"
"isabella::kindness";"james::kindness"
"isabella::kindness";"john::impatient"
"isabella::kindness";"john::kindness"
"james::impatient";"james::kindness"
"james::impatient";"john::impatient"
"james::impatient";"john::kindness"
"james::kindness";"john::impatient"
"james::kindness";"john::kindness"
"john::impatient";"john::kindness"
"catherine::heroic";"catherine::pleasanter"
"catherine::heroic";"thorpe::heroic"
"catherine::heroic";"thorpe::pleasanter"
"catherine::heroic";"tilney::heroic"
"catherine::heroic";"tilney::pleasanter"
"catherine::pleasanter";"thorpe::heroic"
"catherine::pleasanter";"thorpe::pleasanter"
"catherine::pleasanter";"tilney::heroic"
"catherine::pleasanter";"tilney::pleasanter"
"thorpe::heroic";"thorpe::pleasanter"
"thorpe::heroic";"tilney::heroic"
"thorpe::heroic";"tilney::pleasanter"
"thorpe::pleasanter";"tilney::heroic"
"thorpe::pleasanter";"tilney::pleasanter"
"tilney::heroic";"tilney::pleasanter"
"catherine::approach";"catherine::companion"
"catherine::approach";"catherine::slowly"
"catherine::approach";"tilney::approach"
"catherine::approach";"tilney::companion"
"catherine::approach";"tilney::slowly"
"catherine::companion";"catherine::slowly"
"catherine::companion";"tilney::approach"
"catherine::companion";"tilney::companion"
"catherine::companion";"tilney::slowly"
"catherine::slowly";"tilney::approach"
"catherine::slowly";"tilney::companion"
"catherine::slowly";"tilney::slowly"
"tilney::approach";"tilney::companion"
"tilney::approach";"tilney::slowly"
"tilney::companion";"tilney::slowly"
"mrs_allen::accommodate";"mrs_thorpe::accommodate"
"mrs_allen::accommodate";"tilney::accommodate"
"mrs_thorpe::accommodate";"tilney::accommodate"
"catherine::consideration";"tilney::consideration"
"tilney::just";"tilney::particulars"
"morland::expressing";"morland::generous"
"morland::expressing";"morland::proper"
"morland::expressing";"mrs_hughes::expressing"
"morland::expressing";"mrs_hughes::generous"
"morland::expressing";"mrs_hughes::proper"
"morland::expressing";"tilney::expressing"
"morland::expressing";"tilney::generous"
"morland::expressing";"tilney::proper"
"morland::generous";"morland::proper"
"morland::generous";"mrs_hughes::expressing"
"morland::generous";"mrs_hughes::generous"
"morland::generous";"mrs_hughes::proper"
"morland::generous";"tilney::expressing"
"morland::generous";"tilney::generous"
"morland::generous";"tilney::proper"
"morland::proper";"mrs_hughes::expressing"
"morland::proper";"mrs_hughes::generous"
"morland::proper";"mrs_hughes::proper"
"morland::proper";"tilney::expressing"
"morland::proper";"tilney::generous"
"morland::proper";"tilney::proper"
"mrs_hughes::expressing";"mrs_hughes::generous"
"mrs_hughes::expressing";"mrs_hughes::proper"
"mrs_hughes::expressing";"tilney::expressing"
"mrs_hughes::expressing";"tilney::generous"
"mrs_hughes::expressing";"tilney::proper"
"mrs_hughes::generous";"mrs_hughes::proper"
"mrs_hughes::generous";"tilney::expressing"
"mrs_hughes::generous";"tilney::generous"
"mrs_hughes::generous";"tilney::proper"
"mrs_hughes::proper";"tilney::expressing"
"mrs_hughes::proper";"tilney::generous"
"mrs_hughes::proper";"tilney::proper"
"tilney::expressing";"tilney::generous"
"tilney::expressing";"tilney::proper"
"tilney::generous";"tilney::proper"
"thorpe::agreeable";"tilney::agreeable"
"catherine::speedy";"tilney::speedy"
"catherine::faithful";"isabella::faithful"
"catherine::impatient";"catherine::original"
"catherine::impatient";"catherine::suspicion"
"catherine::impatient";"isabella::original"
"catherine::impatient";"isabella::suspicion"
"catherine::impatient";"tilney::impatient"
"catherine::impatient";"tilney::original"
"catherine::impatient";"tilney::suspicion"
"catherine::original";"catherine::suspicion"
"catherine::original";"isabella::impatient"
"catherine::original";"isabella::original"
"catherine::original";"isabella::suspicion"
"catherine::original";"tilney::impatient"
"catherine::original";"tilney::original"
"catherine::original";"tilney::suspicion"
"catherine::suspicion";"isabella::impatient"
"catherine::suspicion";"isabella::original"
"catherine::suspicion";"isabella::suspicion"
"catherine::suspicion";"tilney::impatient"
"catherine::suspicion";"tilney::original"
"catherine::suspicion";"tilney::suspicion"
"isabella::impatient";"isabella::original"
"isabella::impatient";"isabella::suspicion"
"isabella::impatient";"tilney::impatient"
"isabella::impatient";"tilney::original"
"isabella::impatient";"tilney::suspicion"
"isabella::original";"isabella::suspicion"
"isabella::original";"tilney::impatient"
"isabella::original";"tilney::original"
"isabella::original";"tilney::suspicion"
"isabella::suspicion";"tilney::impatient"
"isabella::suspicion";"tilney::original"
"isabella::suspicion";"tilney::suspicion"
"tilney::impatient";"tilney::original"
"tilney::impatient";"tilney::suspicion"
"tilney::original";"tilney::suspicion"
"catherine::agreeable";"catherine::opportunity"
"catherine::agreeable";"john_thorpe::agreeable"
"catherine::agreeable";"john_thorpe::opportunity"
"catherine::agreeable";"mrs_allen::agreeable"
"catherine::agreeable";"mrs_allen::opportunity"
"catherine::agreeable";"mrs_thorpe::agreeable"
"catherine::agreeable";"mrs_thorpe::opportunity"
"catherine::agreeable";"tilney::agreeable"
"catherine::agreeable";"tilney::opportunity"
"catherine::opportunity";"john_thorpe::agreeable"
"catherine::opportunity";"john_thorpe::opportunity"
"catherine::opportunity";"mrs_allen::agreeable"
"catherine::opportunity";"mrs_allen::opportunity"
"catherine::opportunity";"mrs_thorpe::agreeable"
"catherine::opportunity";"mrs_thorpe::opportunity"
"catherine::opportunity";"tilney::agreeable"
"catherine::opportunity";"tilney::opportunity"
"john_thorpe::agreeable";"john_thorpe::opportunity"
"john_thorpe::agreeable";"mrs_allen::agreeable"
"john_thorpe::agreeable";"mrs_allen::opportunity"
"john_thorpe::agreeable";"mrs_thorpe::agreeable"
"john_thorpe::agreeable";"mrs_thorpe::opportunity"
"john_thorpe::agreeable";"tilney::agreeable"
"john_thorpe::agreeable";"tilney::opportunity"
"john_thorpe::opportunity";"mrs_allen::agreeable"
"john_thorpe::opportunity";"mrs_allen::opportunity"
"john_thorpe::opportunity";"mrs_thorpe::agreeable"
"john_thorpe::opportunity";"mrs_thorpe::opportunity"
"john_thorpe::opportunity";"tilney::agreeable"
"john_thorpe::opportunity";"tilney::opportunity"
"mrs_allen::agreeable";"mrs_allen::opportunity"
"mrs_allen::agreeable";"mrs_thorpe::agreeable"
"mrs_allen::agreeable";"mrs_thorpe::opportunity"
"mrs_allen::agreeable";"tilney::agreeable"
"mrs_allen::agreeable";"tilney::opportunity"
"mrs_allen::opportunity";"mrs_thorpe::agreeable"
"mrs_allen::opportunity";"mrs_thorpe::opportunity"
"mrs_allen::opportunity";"tilney::agreeable"
"mrs_allen::opportunity";"tilney::opportunity"
"mrs_thorpe::agreeable";"mrs_thorpe::opportunity"
"mrs_thorpe::agreeable";"tilney::agreeable"
"mrs_thorpe::agreeable";"tilney::opportunity"
"mrs_thorpe::opportunity";"tilney::agreeable"
"mrs_thorpe::opportunity";"tilney::opportunity"
"tilney::agreeable";"tilney::opportunity"
"mrs_allen::agreeable";"mrs_allen::complacently"
"mrs_allen::agreeable";"mrs_thorpe::complacently"
"mrs_allen::complacently";"mrs_thorpe::agreeable"
"mrs_allen::complacently";"mrs_thorpe::complacently"
"mrs_thorpe::agreeable";"mrs_thorpe::complacently"
"catherine::consideration";"mrs_allen::consideration"
"john_thorpe::gracious";"john_thorpe::persuasion"
"john_thorpe::gracious";"morland::gracious"
"john_thorpe::gracious";"morland::persuasion"
"john_thorpe::persuasion";"morland::gracious"
"john_thorpe::persuasion";"morland::persuasion"
"morland::gracious";"morland::persuasion"
"catherine::dull";"isabella::dull"
"catherine::dull";"james::dull"
"catherine::dull";"tilney::dull"
"isabella::dull";"james::dull"
"isabella::dull";"tilney::dull"
"james::dull";"tilney::dull"
"catherine::considerable";"catherine::dissatisfaction"
"catherine::considerable";"catherine::violent"
"catherine::dissatisfaction";"catherine::violent"
"catherine::direction";"catherine::earnest"
"mrs_allen::#-silent";"mrs_allen::quietly"
"catherine::loud";"john_thorpe::loud"
"catherine::loud";"morland::loud"
"catherine::loud";"thorpe::loud"
"john_thorpe::loud";"morland::loud"
"john_thorpe::loud";"thorpe::loud"
"morland::loud";"thorpe::loud"
"catherine::expression";"catherine::silent"
"catherine::expression";"isabella::expression"
"catherine::expression";"isabella::silent"
"catherine::expression";"james::expression"
"catherine::expression";"james::silent"
"catherine::expression";"mrs_allen::expression"
"catherine::expression";"mrs_allen::silent"
"catherine::expression";"thorpe::expression"
"catherine::expression";"thorpe::silent"
"catherine::expression";"tilney::expression"
"catherine::expression";"tilney::silent"
"catherine::silent";"isabella::expression"
"catherine::silent";"isabella::silent"
"catherine::silent";"james::expression"
"catherine::silent";"james::silent"
"catherine::silent";"mrs_allen::expression"
"catherine::silent";"mrs_allen::silent"
"catherine::silent";"thorpe::expression"
"catherine::silent";"thorpe::silent"
"catherine::silent";"tilney::expression"
"catherine::silent";"tilney::silent"
"isabella::expression";"isabella::silent"
"isabella::expression";"james::expression"
"isabella::expression";"james::silent"
"isabella::expression";"mrs_allen::expression"
"isabella::expression";"mrs_allen::silent"
"isabella::expression";"thorpe::expression"
"isabella::expression";"thorpe::silent"
"isabella::expression";"tilney::expression"
"isabella::expression";"tilney::silent"
"isabella::silent";"james::expression"
"isabella::silent";"james::silent"
"isabella::silent";"mrs_allen::expression"
"isabella::silent";"mrs_allen::silent"
"isabella::silent";"thorpe::expression"
"isabella::silent";"thorpe::silent"
"isabella::silent";"tilney::expression"
"isabella::silent";"tilney::silent"
"james::expression";"james::silent"
"james::expression";"mrs_allen::expression"
"james::expression";"mrs_allen::silent"
"james::expression";"thorpe::expression"
"james::expression";"thorpe::silent"
"james::expression";"tilney::expression"
"james::expression";"tilney::silent"
"james::silent";"mrs_allen::expression"
"james::silent";"mrs_allen::silent"
"james::silent";"thorpe::expression"
"james::silent";"thorpe::silent"
"james::silent";"tilney::expression"
"james::silent";"tilney::silent"
"mrs_allen::expression";"mrs_allen::silent"
"mrs_allen::expression";"thorpe::expression"
"mrs_allen::expression";"thorpe::silent"
"mrs_allen::expression";"tilney::expression"
"mrs_allen::expression";"tilney::silent"
"mrs_allen::silent";"thorpe::expression"
"mrs_allen::silent";"thorpe::silent"
"mrs_allen::silent";"tilney::expression"
"mrs_allen::silent";"tilney::silent"
"thorpe::expression";"thorpe::silent"
"thorpe::expression";"tilney::expression"
"thorpe::expression";"tilney::silent"
"thorpe::silent";"tilney::expression"
"thorpe::silent";"tilney::silent"
"tilney::expression";"tilney::silent"
"morland::#-frightened";"thorpe::#-frightened"
"morland::playful";"thorpe::playful"
"catherine::frightened";"catherine::knowledge"
"catherine::frightened";"thorpe::frightened"
"catherine::frightened";"thorpe::knowledge"
"catherine::knowledge";"thorpe::frightened"
"catherine::knowledge";"thorpe::knowledge"
"thorpe::frightened";"thorpe::knowledge"
"catherine::quietest";"thorpe::quietest"
"catherine::kind";"catherine::mild"
"catherine::kind";"catherine::quiet"
"catherine::kind";"catherine::sincerely"
"catherine::kind";"catherine::unpleasant"
"catherine::mild";"catherine::quiet"
"catherine::mild";"catherine::sincerely"
"catherine::mild";"catherine::unpleasant"
"catherine::quiet";"catherine::sincerely"
"catherine::quiet";"catherine::unpleasant"
"catherine::sincerely";"catherine::unpleasant"
"allen::#-understand";"allen::abruptly"
"allen::#-understand";"allen::question"
"allen::#-understand";"catherine::#-understand"
"allen::#-understand";"catherine::abruptly"
"allen::#-understand";"catherine::question"
"allen::#-understand";"thorpe::#-understand"
"allen::#-understand";"thorpe::abruptly"
"allen::#-understand";"thorpe::question"
"allen::abruptly";"allen::question"
"allen::abruptly";"catherine::#-understand"
"allen::abruptly";"catherine::abruptly"
"allen::abruptly";"catherine::question"
"allen::abruptly";"thorpe::#-understand"
"allen::abruptly";"thorpe::abruptly"
"allen::abruptly";"thorpe::question"
"allen::question";"catherine::#-understand"
"allen::question";"catherine::abruptly"
"allen::question";"catherine::question"
"allen::question";"thorpe::#-understand"
"allen::question";"thorpe::abruptly"
"allen::question";"thorpe::question"
"catherine::#-understand";"catherine::abruptly"
"catherine::#-understand";"catherine::question"
"catherine::#-understand";"thorpe::#-understand"
"catherine::#-understand";"thorpe::abruptly"
"catherine::#-understand";"thorpe::question"
"catherine::abruptly";"catherine::question"
"catherine::abruptly";"thorpe::#-understand"
"catherine::abruptly";"thorpe::abruptly"
"catherine::abruptly";"thorpe::question"
"catherine::question";"thorpe::#-understand"
"catherine::question";"thorpe::abruptly"
"catherine::question";"thorpe::question"
"thorpe::#-understand";"thorpe::abruptly"
"thorpe::#-understand";"thorpe::question"
"thorpe::abruptly";"thorpe::question"
"catherine::consider";"james::consider"
"catherine::consider";"thorpe::consider"
"james::consider";"thorpe::consider"
"catherine::impudent";"catherine::understand"
"catherine::directly";"isabella::directly"
"catherine::directly";"morland::directly"
"isabella::directly";"morland::directly"
"catherine::conversation";"catherine::despondency"
"catherine::just";"catherine::pleasant"
"catherine::just";"mrs_allen::just"
"catherine::just";"mrs_allen::pleasant"
"catherine::pleasant";"mrs_allen::just"
"catherine::pleasant";"mrs_allen::pleasant"
"mrs_allen::just";"mrs_allen::pleasant"
"mrs_tilney::#-certain";"tilney::#-certain"
