"accustomed" "afraid" "appropriate" "beautiful" "best" "blessed" "capable" "careful" "cheerful" "clean" "comfortable" "compassionate" "cruel" "curious" "dangerous" "delicate" "delighted" "determined" "different" "extraordinary" "extreme" "fair" "faithful" "familiar" "free" "friendly" "gentle" "graceful" "greatest" "happier" "happy" "holy" "honest" "humble" "independent" "intellectual" "interesting" "loose" "married" "mighty" "modest" "moral" "mysterious" "natural" "pleasant" "polite" "popular" "proud" "prudent" "qualified" "quiet" "reasonable" "respected" "rich" "sacred" "safe" "social" "special" "strong" "superior" "surprising" "thoughtful" "uncertain" "united" "weak" "worth"
"extraordinary" 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 3 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 2 1 2 0 0 2 1 0 2 0 0 1 1 1 1 0 2 0 0 0 0 0 0 1
"extreme" 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"fair" 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 3 1 1 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 2 0 0 1 1 3 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 0 2 0 1 1 1 1 1 2
"faithful" 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 2 0 0 1 0 0 0 1 2 0 0 0 0 0 1 0
"familiar" 0 0 1 1 1 0 0 0 2 0 0 0 0 2 1 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 2 0 0 1 1 0 1 1 0 0 0 1 0 1 1 0 0 1 1 0 2 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1
"free" 0 1 0 0 4 1 2 0 0 1 0 0 0 2 1 0 1 0 2 0 0 1 1 0 0 1 3 1 0 1 0 2 3 2 1 1 1 1 1 0 0 1 1 3 0 1 0 3 0 0 3 0 1 1 1 1 0 0 2 0 0 0 0 1 1 1
"friendly" 0 0 0 0 0 0 1 0 1 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
"gentle" 0 1 0 0 2 1 0 0 1 1 1 1 1 1 0 1 1 0 2 0 0 1 2 0 3 0 0 0 1 0 0 0 2 2 0 0 1 1 0 1 0 2 0 1 1 0 0 3 0 1 5 0 0 0 0 0 0 0 1 1 0 0 0 0 2 1
"graceful" 0 0 1 2 3 0 0 0 1 0 0 0 1 2 2 1 0 0 2 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0
"greatest" 0 2 0 0 2 1 0 0 2 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 2 3 1 0 3 2 0 0 1 0 1 5 0 0 0 0 1 0 0 3 1 0 0 1 0 1 0
"happier" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3 1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 1 0 0 2 0 0 1
"happy" 2 3 1 1 5 0 0 3 5 1 2 2 0 2 0 2 1 0 2 1 2 0 0 2 0 1 0 0 1 0 0 1 1 0 1 1 1 2 1 0 1 1 0 2 1 1 1 1 0 0 4 1 1 0 0 1 2 1 4 1 2 2 0 1 2 1
"holy" 1 0 1 0 2 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 2 0 2 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0
"honest" 0 0 0 1 3 0 1 0 1 2 0 0 1 1 0 1 1 0 1 0 0 0 1 0 3 2 2 0 0 1 1 2 0 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 5 0 0 1 1 3 0 0 1 0 0 1 0 1 2 0
"humble" 0 1 0 1 2 0 1 0 1 0 0 0 0 1 1 0 0 0 2 1 0 1 0 1 2 0 2 0 1 1 0 0 1 0 0 0 1 0 0 1 0 1 1 1 1 0 0 2 1 0 2 0 0 1 0 2 0 0 0 1 0 0 0 0 0 1
"independent" 1 0 2 1 2 0 1 0 1 1 0 1 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 1 0 0 1 2 1 0 0 1 1 0 0 0 1 1 2 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1
"intellectual" 1 0 1 0 2 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0
"interesting" 0 1 1 1 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 2 0 1 1 0 1 1 1 0 1 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 2 0 0 1 0 1 0 1 1 1 0 0 0 1 0 0
"loose" 0 0 0 0 2 0 0 0 1 1 0 1 0 1 1 0 0 1 1 1 1 0 0 1 1 0 1 0 0 0 2 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1
"married" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 2 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
"mighty" 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"modest" 0 2 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 0 0 0 0 2 1 1 1 0 0 0 0 1 2 0 1 0 0 0 0 0 2 0 1 1 1 0 1 1
"moral" 0 1 1 0 4 0 0 0 0 1 2 0 1 1 0 0 0 0 2 0 0 3 1 1 1 0 2 1 1 0 1 0 1 1 1 0 1 1 0 0 2 0 1 0 1 0 1 1 1 1 3 0 1 0 2 1 0 1 3 0 1 1 1 1 0 3
"mysterious" 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 2 2 0 1 0 0 1 1 0 0 0 0 0 1 1 1 2 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 3 0 1 0 2 0 0 0 0 0 1 1 1 0 0 1
"natural" 0 1 0 1 3 2 1 1 4 2 1 0 0 2 0 0 2 1 2 1 0 0 1 1 3 1 1 2 3 3 2 0 1 1 0 0 0 1 2 1 1 0 0 0 1 0 0 3 0 0 4 0 1 2 0 2 1 0 2 1 0 1 3 0 0 2
"pleasant" 0 3 0 1 3 0 0 0 1 0 0 0 0 0 0 2 0 0 2 2 0 0 0 1 0 0 1 0 2 1 1 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1 4 0 0 1 0 1 0 0 4 2 0 0 1 0 1 2
"polite" 2 0 1 0 2 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"popular" 1 0 2 0 2 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"proud" 0 1 0 3 3 1 0 1 1 0 1 0 1 2 1 1 1 0 3 2 0 1 1 1 3 0 3 2 1 1 1 0 0 2 0 0 0 0 1 0 0 1 1 3 1 0 0 0 1 1 4 1 1 1 0 1 0 0 1 0 0 0 1 0 0 0
"prudent" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0
"qualified" 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"quiet" 0 3 0 1 7 2 1 1 4 1 1 1 2 2 1 1 1 0 5 2 0 0 2 2 3 1 5 0 5 2 4 1 5 2 1 0 2 1 1 1 2 3 3 4 4 0 1 4 0 1 0 0 1 1 2 0 0 2 6 1 0 1 1 0 3 0
"reasonable" 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 3 0 1 0 0 1 0 0 1 1
"respected" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 2 1 0 0 1
"rich" 0 1 1 1 3 0 1 0 0 0 0 0 0 0 0 1 0 0 2 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 2 1 0 0 1 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0 0 1 0
"sacred" 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"safe" 0 0 0 1 3 0 0 0 2 1 0 1 0 1 0 0 1 0 2 1 0 1 0 1 1 1 0 0 1 0 1 1 3 2 0 1 1 0 1 0 0 1 0 2 1 0 0 1 2 0 0 1 0 1 0 0 1 0 2 0 0 0 0 2 0 0
"social" 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 1 0 1 0 0 1 1 1 0 0 0 1 2
"special" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"strong" 2 3 0 0 6 0 0 0 1 0 2 0 0 2 0 0 0 0 3 2 1 2 2 0 2 0 1 0 3 1 4 1 1 0 0 1 1 1 0 0 2 3 0 2 4 0 1 1 1 2 6 1 0 1 0 2 1 1 0 1 1 0 1 3 1 1
"superior" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1
"surprising" 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0 1
"thoughtful" 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 0 1 0 0 1
"uncertain" 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 0 0 1 1 1 3 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0 1
"united" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 3 0 1 0 0 0 0 0
"weak" 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 3 0 1 1 1 1 1 0 2 0 1 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 3 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1
"worth" 0 2 0 0 1 0 1 1 0 1 1 0 0 0 0 1 0 0 2 1 0 2 0 1 1 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 1 3 1 2 2 0 1 0 0 0 0 1 1 0 0 0 2 0 1 1 1 1 1 0 1 0
