"" "abandoned" "acceptable" "affectionate" "arbitrary" "assured" "awkward" "bitter" "bold" "brave" "brute" "brutish" "busy" "called" "calm" "careful" "careless" "casual" "casuist" "certain" "charitable" "cheat" "cheerful" "circumspect" "clean" "close" "clumsy" "cold" "coming" "consistent" "constant" "contained" "continent" "continuing" "contrary" "conversation" "cordial" "covetous" "crows" "cunning" "curious" "dainty" "daring" "dashing" "determined" "dexterous" "diligent" "direct" "domestic" "earnest" "easy" "enterprising" "even" "exact" "face" "faithful" "familiar" "fast" "fearful" "feel" "fierce" "fiery" "finish" "firebrand" "firm" "fleet" "formal" "forward" "free" "fresh" "friendly" "game" "general" "generous" "gentle" "grateful" "grave" "hammer" "handsome" "handy" "having" "hearty" "heavy" "helpful" "helpless" "hill" "honest" "hopeless" "humble" "hurried" "impatient" "indefatigable" "indifferent" "insolent" "integrity" "invincible" "irrational" "irresolute" "jealous" "joyful" "keen" "kind" "knowing" "laborious" "leisurely" "lively" "loud" "loving" "lusty" "mathematical" "melancholy" "merciful" "merciless" "merry" "mouth" "natural" "negative" "nimble" "obedient" "obstinate" "officious" "open" "open-mouthed" "original" "pack" "painstaking" "particular" "passionate" "penitent" "pensive" "plain-dealing" "pleasant" "positive" "prophetic" "quick" "quiet" "rapid" "rash" "rebellious" "refractory" "regardless" "religious" "reserved" "resolved" "righteous" "ringleader" "rough" "rowing" "rude" "rusty" "sad" "sagacious" "second" "sensible" "serene" "serious" "severe" "shy" "silent" "simple" "sincere" "slacker" "slow" "smooth" "sober" "sociable" "soft" "spirit" "steady" "steep" "steer" "stern" "stiff" "still" "straight" "strict" "strong" "subtle" "sudden" "sufficient" "sure" "surly" "sweet" "swift" "tender" "thankful" "thorough" "thoughtless" "toward" "true" "trusty" "ugly" "uncertain" "unfaithful" "unhappy" "unthinking" "vain" "vicious" "vigilant" "violent" "voracious" "weak" "wise" "willing" "unkindly" "vindictive" "ticklish" "tough" "urgent" "venturous" "unthankful" "whimsical" "wiser" "tractable"
"brutish" 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"busy" 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 2 0 0 2 0 1 1 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"called" 1 0 2 0 1 3 2 1 1 0 2 2 0 5 1 0 1 0 10 1 1 4 1 3 20 1 4 16 1 6 1 3 1 5 3 2 0 1 1 1 1 2 1 1 1 0 7 1 0 16 0 21 2 8 3 2 8 1 4 2 0 1 0 2 2 1 10 2 7 3 0 1 1 1 1 4 1 2 0 33 4 7 0 0 16 4 1 2 3 4 0 1 1 2 1 0 1 0 0 1 15 8 1 2 1 3 2 2 0 2 2 1 2 4 6 0 3 1 1 1 7 1 0 0 1 6 1 2 4 1 4 0 1 0 2 0 1 0 1 1 2 1 27 0 1 1 2 1 0 2 0 8 3 2 4 1 1 0 1 2 1 0 2 1 1 3 1 0 1 2 5 1 18 0 1 12 1 7 4 14 0 1 2 2 7 1 0 2 11 0 2 0 0 2 0 2 1 1 4 0 2 5 8 0 0 1 1 1 1 0 0 0 0
"calm" 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 2 1 0 1 0 1 4 0 0 2 0 0 1 0 2 3 1 1 0 0 0 0 0 0 1 0 1 0 2 0 1 2 0 6 1 2 1 1 1 0 0 0 0 0 0 1 0 0 3 1 7 1 0 1 0 1 0 2 2 0 0 11 0 1 0 0 4 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 1 0 0 0 2 0 1 1 3 0 0 1 0 0 0 4 0 0 0 0 2 0 0 2 0 2 0 1 0 3 1 1 0 0 0 1 0 7 0 0 1 3 0 1 2 0 5 0 1 2 0 0 0 0 0 0 1 3 1 0 1 1 0 0 2 2 0 5 0 0 7 0 4 2 4 0 0 0 0 2 0 0 0 4 0 0 0 0 1 0 1 0 0 2 0 1 2 1 0 0 0 0 0 0 1 1 0 0
"careful" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 1 0 2 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"careless" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"casual" 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"casuist" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"certain" 1 1 0 0 2 1 0 0 0 0 1 1 10 2 0 0 0 0 0 2 0 2 0 0 5 0 2 4 0 3 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 0 3 0 1 1 0 11 2 0 2 2 3 0 0 0 0 0 0 0 0 0 3 0 1 2 0 1 1 0 0 0 0 1 0 12 0 2 0 0 8 2 2 1 2 0 0 0 1 0 1 0 0 0 0 0 7 1 1 0 1 0 0 0 0 1 1 1 0 2 1 0 0 0 0 0 2 1 0 0 0 5 1 0 2 0 2 0 0 0 1 0 0 1 0 1 2 0 7 1 0 0 0 0 0 2 0 5 2 0 3 2 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 2 0 0 1 0 1 3 9 0 0 0 0 3 0 0 0 6 0 1 0 1 1 1 1 0 0 1 1 1 3 2 1 0 0 0 1 0 0 1 0 0
"charitable" 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"cheat" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cheerful" 0 0 0 0 1 0 0 0 0 0 0 0 4 1 0 0 0 0 2 0 0 0 0 0 4 0 1 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 1 0 0 0 6 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 2 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 2 0 0 2 0 0 1 3 0 0 0 0 2 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"circumspect" 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"clean" 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"close" 2 0 1 0 1 0 1 1 0 0 1 1 20 4 1 0 0 0 5 0 0 4 0 1 0 0 1 13 0 2 0 0 2 5 2 0 0 0 1 1 0 1 1 2 0 0 2 0 1 9 0 16 1 6 0 0 11 1 1 1 0 0 0 2 0 0 8 0 8 1 2 1 1 1 0 2 0 1 0 26 1 2 0 0 13 3 0 1 4 1 0 0 1 1 0 0 1 1 0 0 12 5 0 1 0 7 0 1 0 1 1 0 0 2 0 0 0 0 0 0 5 1 0 0 0 4 1 0 4 1 7 0 1 0 1 0 1 0 0 1 0 0 18 0 1 3 3 1 0 3 0 8 3 0 1 1 1 0 0 0 1 1 4 1 2 2 0 1 0 0 6 1 13 1 1 13 0 3 4 10 1 0 0 1 5 0 0 1 8 0 2 0 0 2 0 1 0 2 3 0 3 2 4 0 0 1 0 1 0 1 0 1 0
"clumsy" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cold" 1 0 0 0 1 0 0 1 0 0 0 0 4 0 0 0 1 0 2 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 3 0 0 0 0 0 0 1 0 0 0 1 0 0 0 6 0 1 0 0 1 0 0 0 0 0 1 0 6 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 1 0 2 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 0 0 1 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0
