"" "#-agreeable" "#-fair" "#-good" "#-handsome" "#-reasonable" "#-satisfied" "active" "affectionate" "afraid" "agreeable" "alone" "amazing" "amusing" "angry" "anxious" "ashamed" "attentive" "attractive" "awake" "awful" "awkward" "bad" "beautiful" "bitter" "bold" "bright" "brilliant" "busy" "calm" "capable" "careless" "certain" "charming" "cheap" "cheerful" "clean" "clever" "cold" "comfortable" "concerned" "confident" "conscientious" "consistent" "cool" "critical" "cruel" "curious" "dangerous" "decent" "delighted" "delightful" "desirable" "determined" "difficult" "direct" "disappointed" "disgusting" "disrespectful" "distinguished" "eager" "embarrassed" "embarrassing" "entertaining" "excellent" "experienced" "extraordinary" "fair" "faithful" "familiar" "famous" "fine" "firm" "foolish" "fortunate" "friendly" "frightening" "furious" "generous" "gentle" "genuine" "glad" "good" "graceful" "gracious" "grateful" "great" "greedy" "handsome" "happy" "hard" "harmless" "helpless" "honest" "hopeful" "ignorant" "impatient" "important" "independent" "innocent" "intellectual" "intelligent" "interested" "interesting" "irritable" "irritated" "jealous" "joyful" "kind" "lazy" "liberal" "little" "lively" "lonely" "loud" "lovely" "lucky" "mature" "modest" "natural" "neat" "nice" "noisy" "old" "open" "ordinary" "original" "patient" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "positive" "pretty" "private" "productive" "proper" "proud" "punctual" "quiet" "reasonable" "religious" "remarkable" "respectable" "respectful" "rich" "ridiculous" "romantic" "rude" "sad" "satisfied" "secure" "selfish" "sensible" "sentimental" "serious" "shallow" "short" "shy" "sincere" "smart" "social" "stable" "strange" "strict" "strong" "stubborn" "stupid" "successful" "surprised" "sweet" "sympathetic" "tall" "terrific" "thankful" "thin" "thorough" "thoughtless" "tired" "traditional" "uncomfortable" "unfriendly" "ungraceful" "unhappy" "unreasonable" "unusual" "useful" "valuable" "violent" "warm" "wealthy" "well" "wise" "wonderful" "worthy" "young" "youthful"
"alone" 0 0 0 0 0 0 0 0 1 0 0 0 0 2 2 2 0 0 3 1 0 0 1 1 0 2 0 1 0 0 0 1 1 0 1 1 0 0 1 2 1 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 5 0 1 0 0 0 0 1 0 0 4 4 1 0 0 3 1 1 3 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 4 0 0 1 0 0 0 0 1 0 0 0 2 2 0 0 0 0 0 1 2 0 1 1 1 2 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 3 0
"amazing" 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"amusing" 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1
"angry" 0 0 0 0 0 0 1 0 1 2 2 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 3 0 0 0 0 0 1 0 0 0 1 4 0 1 0 1 0 0 1 0 1 3 6 1 0 0 7 0 1 3 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 3 0 0 4 0 0 0 1 0 0 0 2 0 0 0 4 3 0 0 0 0 0 3 2 0 0 2 1 3 1 0 2 0 0 0 0 1 0 1 0 2 1 0 2 0 0 2 1 1 0 1 0 2 0 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 1 3 0
"anxious" 0 0 0 0 0 0 1 2 2 3 2 0 0 3 0 2 0 0 1 1 0 2 2 1 1 1 0 0 1 2 0 1 3 0 0 1 1 2 4 0 0 0 0 0 1 0 1 0 0 0 3 0 2 1 1 2 0 1 0 2 2 0 0 2 0 1 5 1 0 1 7 0 1 1 0 0 0 2 2 0 3 7 1 0 0 10 0 3 6 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 2 3 0 1 10 0 0 0 1 0 0 1 2 1 0 0 4 4 1 0 1 0 0 2 2 1 0 3 2 2 2 0 1 0 0 3 2 0 0 0 0 2 0 0 0 0 2 1 1 0 0 1 0 6 0 0 0 0 0 5 0 1 0 0 1 2 3 1 0 1 0 1 0 0 1 0 2 0 0 0 0 1 1 1 3 0 0 1 1 1 1 7 0
"ashamed" 0 0 1 0 0 0 0 2 4 1 2 0 1 1 2 0 0 0 1 1 0 2 3 0 1 0 0 1 0 1 0 1 2 1 0 0 2 1 1 2 0 1 0 0 1 0 0 0 2 1 2 0 0 2 1 1 1 0 1 1 1 0 0 2 0 1 3 0 0 0 5 0 1 1 1 0 0 2 2 1 4 7 0 0 1 6 0 1 6 1 0 0 1 1 1 2 0 0 0 0 0 1 2 0 0 0 2 4 0 0 8 1 0 1 1 0 1 0 1 1 1 0 4 2 0 0 0 1 0 2 1 1 0 4 0 2 1 0 0 1 0 2 3 0 2 1 0 1 0 0 0 1 4 1 1 2 0 1 1 5 0 1 0 0 0 0 0 1 0 3 1 4 2 0 0 0 0 0 0 0 2 0 1 0 0 3 0 0 0 0 0 1 1 0 1 0 1 6 1
"attentive" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"attractive" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"awake" 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0
"awful" 0 0 0 0 0 0 1 0 2 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 2 0 0 0
"awkward" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0
"bad" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 2 0 0 0 0 1 0 1 0 0 1 1 1 0 1 0 1 3 0 1 1 1 0 3 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 3 0 2 1 1 0 1 4 0 1 0 0 0 0 0 2 0 1 6 0 0 0 6 0 3 4 0 0 0 2 0 0 1 1 0 0 0 0 0 1 0 0 1 1 2 0 0 7 0 0 0 0 0 0 1 0 3 0 1 4 0 0 0 1 2 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 2 0 0 0 1 0 5 0 0 1 0 0 2 0 1 1 1 0 1 0 1 1 0 0 1 0 0 2 0 0 0 1 2 0 0 1 0 0 0 0 1 0 1 0 4 0
"beautiful" 1 0 1 0 0 1 0 2 3 1 1 0 0 0 2 3 1 1 1 1 0 1 0 0 0 2 0 0 0 2 1 2 3 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 1 5 1 1 1 0 1 0 0 1 2 1 0 0 1 0 0 3 1 0 0 7 0 1 1 1 0 0 1 2 1 3 7 0 0 0 9 1 2 6 1 0 0 0 1 1 2 0 0 0 0 0 2 2 0 0 0 1 0 1 0 7 0 0 0 0 1 1 0 1 1 1 0 4 3 0 1 1 0 0 2 3 0 1 3 2 2 1 0 1 1 0 1 1 0 3 0 0 2 0 0 0 0 2 0 0 1 0 0 0 4 1 0 0 0 0 0 0 2 0 2 0 2 1 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 1 0 3 0 1 1 0 1 9 0
"bitter" 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"bold" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 0 0 0 1 1 0 0 2 1 0 2 0 0 1 0 0 0 0 0 0 1 0 1 0 0 3 0 0 1 2 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 3 1 0 0 0 0 0 0 1 0 0 0 1 2 2 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0
"bright" 0 0 0 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 1 1 0 1 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 3 0 0 0 4 1 2 1 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 2 0
"brilliant" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"busy" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 2 0 0 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0
"calm" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1
